year,county,undergrad,unemployment,income_percap,civ_labor,race_white,income_med,income_person,pop_res,net_mig,homeowner,crime,racical_dissim,snap,inc_ineq,discon_yth,burd_house,pre_death,patents,poverty,age_med,commute,age_pre_death,at_hpi,eq_sprime,poverty_perc,hisp_latin,privat_ests,buildings,poverty_u18,house_singp,pop_est,pop_perc,prevent_admin,assoc_deg,rel_chil_518,prec_rel_chil_518,pop_u18,perc_pop_u18,real_wage_coladj,date,countycode
1991,AITKIN,NaN,11.225,13984,5308.25,NaN,NaN,176240,12.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.25,127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,1
1991,ANOKA,NaN,4.975,18556,148739.33333333334,NaN,NaN,4668080,251.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.166666666666667,NaN,NaN,NaN,NaN,64.44,NaN,NaN,NaN,4700.25,1906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,2
1991,BECKER,NaN,7.616666666666667,14110,12757.666666666666,NaN,NaN,397704,28.185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.74,NaN,NaN,NaN,658.25,126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,3
1991,BELTRAMI,NaN,7.916666666666667,13994,16264.333333333334,NaN,NaN,492900,35.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.79,NaN,NaN,NaN,839,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,4
1991,BENTON,NaN,6.075,15072,17576.333333333332,NaN,NaN,465859,30.909000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.67,NaN,NaN,NaN,589.5,167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,5
1991,BIG STONE,NaN,5.066666666666666,15181,2869.1666666666665,NaN,NaN,94213,6.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,6
1991,BLUE EARTH,NaN,3.775,16369,30324.666666666668,NaN,NaN,891115,54.43899999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.39,NaN,NaN,NaN,1488,118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,7
1991,BROWN,NaN,4.441666666666666,17245,14313.25,NaN,NaN,465052,26.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.54,NaN,NaN,NaN,731.75,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,8
1991,CARLTON,NaN,8.141666666666666,15047,13766.666666666666,NaN,NaN,443458,29.471999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.62,NaN,NaN,NaN,569,127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,9
1991,CARVER,NaN,4.008333333333334,22126,29170.166666666668,NaN,NaN,1111829,50.251000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.92,NaN,NaN,NaN,985.75,514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991-06-16,10
