COUNTYNAME,COUNTYCODE
AITKIN,1
ANOKA,2
BECKER,3
BELTRAMI,4
BENTON,5
BIG STONE,6
BLUE EARTH,7
BROWN,8
CARLTON,9
CARVER,10
CASS,11
CHIPPEWA,12
CHISAGO,13
CLAY,14
CLEARWATER,15
COOK,16
COTTONWOOD,17
CROW WING,18
DAKOTA,19
DODGE,20
DOUGLAS,21
FARIBAULT,22
FILLMORE,23
FREEBORN,24
GOODHUE,25
GRANT,26
HENNEPIN,27
HOUSTON,28
HUBBARD,29
ISANTI,30
ITASCA,31
JACKSON,32
KANABEC,33
KANDIYOHI,34
KITTSON,35
KOOCHICHING,36
LAC QUI PARLE,37
LAKE,38
LAKE OF THE WOODS,39
LE SUEUR,40
LINCOLN,41
LYON,42
MCLEOD,43
MAHNOMEN,44
MARSHALL,45
MARTIN,46
MEEKER,47
MILLE LACS,48
MORRISON,49
MOWER,50
MURRAY,51
NICOLLET,52
NOBLES,53
NORMAN,54
OLMSTED,55
OTTER TAIL,56
PENNINGTON,57
PINE,58
PIPESTONE,59
POLK,60
POPE,61
RAMSEY,62
RED LAKE,63
REDWOOD,64
RENVILLE,65
RICE,66
ROCK,67
ROSEAU,68
ST. LOUIS,69
SCOTT,70
SHERBURNE,71
SIBLEY,72
STEARNS,73
STEELE,74
STEVENS,75
SWIFT,76
TODD,77
TRAVERSE,78
WABASHA,79
WADENA,80
WASECA,81
WASHINGTON,82
WATONWAN,83
WILKIN,84
WINONA,85
WRIGHT,86
YELLOW MEDICINE,87
TOTAL,NA
