State;CountyID;PrecinctID;PrecinctName;HasStat;7AM;EDR;Signatirues;MilAbs;FedAbs;PresAbs;Totvoting
MN;02;0705;CIRCLE PINES P-1;1;1181;3;220;17;0;0;237
MN;02;0710;CIRCLE PINES P-2;1;2072;6;466;38;0;0;504
MN;02;2205;LINO LAKES P-1;1;1276;7;375;31;0;0;406
MN;02;2210;LINO LAKES P-2;1;1996;9;333;29;0;0;362
MN;02;2215;LINO LAKES P-3;1;1535;3;220;8;0;0;228
MN;02;2220;LINO LAKES P-4;1;2280;13;322;22;0;0;344
MN;02;2225;LINO LAKES P-5;1;1273;5;184;14;0;0;198
MN;02;2230;LINO LAKES P-6;1;2078;5;284;19;0;0;303
MN;02;2235;LINO LAKES P-7;1;2186;5;306;18;0;0;324
MN;02;8033;ISD 15 P2 LIFELONG LEARNING CENTER;1;6820;59;1702;215;0;0;1917
MN;02;8034;ISD 15 P3 EAST BETHEL SR CENTER;1;6125;41;1246;73;0;0;1319
MN;02;8038;ISD 13 P1;1;7476;51;1462;27;0;0;1489
MN;02;8039;ISD 13 P2;1;7082;66;1560;61;0;0;1621
MN;02;8040;ISD 14 P1 FRIDLEY COMMUNITY CENTER;1;9191;6;227;19;0;0;246
MN;02;8041;ISD 16 P1 WOODCREST ELEMENTARY;1;6482;8;451;19;0;0;470
MN;02;8042;ISD 16 P2 WESTWOOD INTERMEDIATE;1;12369;17;585;62;0;0;647
MN;02;8044;ISD 15 P1 CENTRAL SERVICES CENTER;1;7149;64;1451;234;0;0;1685
MN;02;8176;ISD 831 P3 LINWOOD ELEMENTARY;1;3392;43;846;92;0;0;938
MN;02;8177;ISD 831 P4 COLUMBUS ELEMENTARY SCHOOL;1;4338;36;1216;140;0;0;1356
MN;02;9359;ISD 11 SB1 P1 - RAMSEY MUNICIPAL CENTER;1;5178;33;742;74;0;0;816
MN;02;9361;ISD 11 SB1 P3 - ANOKA COVENANT CHURCH;1;4395;23;771;73;0;0;844
MN;02;9362;ISD 11 SB1 P4 - ZION LUTHERAN CHURCH;1;5675;39;823;97;0;0;920
MN;02;9363;ISD 11 SB1 P5 - GREENHAVEN COUNTRY CLUB;1;3775;12;513;63;0;0;576
MN;02;9364;ISD 11 SB2 P1 - GRACE COMMUNITY FELLOWSHIP;1;7044;63;1264;148;0;0;1412
MN;02;9365;ISD 11 SB2 P2 - OAK PARK COMMUNITY CHURCH;1;5473;28;766;85;0;0;851
MN;02;9366;ISD 11 SB2 P3 - BLAINE UNITED METHODIST CHURCH;1;4668;12;573;51;0;0;624
MN;02;9367;ISD 11 SB2 P4 - KING OF GLORY CHURCH;1;4035;15;526;36;0;0;562
MN;02;9368;ISD 11 SB2 P5 - PEACE LUTHERAN CHURCH;1;3577;14;535;21;0;0;556
MN;02;9369;ISD 11 SB3 P5 - COON RAPIDS ICE CENTER;1;3468;12;524;39;0;0;563
MN;02;9370;ISD 11 SB3 P6 - UNITED METHODIST CHURCH;1;3874;10;635;42;0;0;677
MN;02;9371;ISD 11 SB4 P1 - OAK HAVEN CHURCH;1;4484;34;822;49;0;0;871
MN;02;9372;ISD 11 SB4 P2 - SPIRIT OF CHRIST LUTHERAN CHURCH;1;5100;37;1098;78;0;0;1176
MN;02;9373;ISD 11 SB4 P3 - CROSS OF HOPE LUTHERAN CHURCH;1;4673;45;949;77;0;0;1026
MN;02;9374;ISD 11 SB4 P4 - PRAIRIE OAK COMMUNITY CHURCH;1;6674;64;1706;163;0;0;1869
MN;02;9375;ISD 11 SB4 P5 - BUNKER HILLS ACTIVITY CENTER;1;3791;36;990;78;0;0;1068
MN;02;9376;ISD 11 SB5 P5 - SPRINGBROOK NATURE CENTER;1;906;0;100;13;0;0;113
MN;02;9377;ISD 11 SB5 P6 - EMMA B HOWE YMCA - COMMUNITY ROOM;1;2385;8;270;32;0;0;302
