,B01001H_002E,B01001I_002E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B05002_003E,B05002_004E,B05003_009E,B05003_020E,B08006_002E,B08006_003E,B08006_008E,B08006_014E,B08006_015E,B08006_016E,B08006_017E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B11001_007E,B11001_008E,B12001_001E,B12001_003E,B12001_004E,B12001_006E,B12001_009E,B12001_010E,B13002_008E,B13002_009E,B14002_026E,B16001_004E,B16001_005E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B18101_001E,B19001_002E,B19001_003E,B19001_017E,B21001_002E,B21001_003E,NAME,state,county,year
0,152660,96603,399957,19872,2463,206532,357622,120009,168703,170318,309730,268889,39239,6780,9550,5339,19231,257473,175767,138412,11061,26294,81706,62818,621408,107310,167584,17735,6065,22393,49,836,373103,77257,62651,2004,3567,3647,2614,2790,1445,1204,754754,8517,6480,51684,24465,571243,"San Mateo County, California",06,081,2014
1,98998,100154,339492,8498,3018,21108,250697,85611,121634,126634,162700,138598,7276,7412,9592,2522,11283,142912,91819,66093,7737,17989,51093,35852,358040,76670,82400,11989,4396,14600,180,964,213322,,,10789,3441,2873,2427,2103,699,435,433326,7263,6313,10770,22330,317965,"Santa Barbara County, California",06,083,2014
2,320062,254766,907866,48169,7894,651614,861613,283807,396581,376916,803930,707763,37734,15748,16302,11333,44945,622068,444289,346468,31400,66421,177779,134405,1525395,285971,411972,44833,13927,51741,332,2867,905874,198208,127148,11954,11578,7543,7526,6803,4126,2989,1885783,21432,19780,115357,56065,1400399,"Santa Clara County, California",06,085,2014
3,77968,45457,218568,2398,724,12339,166362,50963,83788,87126,98431,87894,3751,6135,5631,4962,10211,96127,61600,46379,3990,11231,34527,24635,226665,46718,55004,4834,2224,7981,0,750,132021,,,5305,2055,1692,1633,2125,462,306,270520,5238,4094,8849,10594,206983,"Santa Cruz County, California",06,087,2014
4,70941,7923,156618,2167,3047,3983,125613,46910,65384,69295,63827,58064,433,416,1357,898,3319,68542,42525,31871,3186,7468,26017,21606,148464,23636,36506,3361,2259,9847,0,213,88889,,,1333,1966,1265,1805,1520,581,293,178296,4848,4999,1676,16724,124219,"Shasta County, California",06,089,2014
5,85012,56516,234128,60256,2283,67746,245623,90122,125222,122442,169907,143560,5490,516,2554,2054,8877,145313,106564,73242,9029,24293,38749,30882,349725,63477,87434,9847,4019,17183,665,1527,210553,,,3140,3192,2954,2098,2310,758,395,419494,7202,6731,7500,32045,296645,"Solano County, California",06,095,2014
6,154239,67471,376299,7339,6750,19734,310148,103249,153439,167778,207960,182963,5198,2373,9285,2152,16584,190875,121602,90793,11278,19531,69273,54859,415036,72016,103116,10161,5569,20832,0,1366,247384,,,3034,3428,3048,3593,2572,1656,850,496323,9754,8399,14586,28554,367981,"Sonoma County, California",06,097,2014
7,113779,118302,405964,12774,4114,29521,337868,75394,137597,142484,187767,165647,1095,1181,4084,2024,8559,169038,124508,89130,9999,25379,44530,33886,411283,72942,104964,9917,4775,18990,481,1921,256959,,,5058,5642,4993,2955,3961,1597,1199,528728,11618,12009,4928,23865,362603,"Stanislaus County, California",06,099,2014
8,22033,14403,68279,2585,837,13805,59043,14812,24459,26599,,,,,,,,31634,23080,17280,2101,3699,8554,7047,75518,11710,20493,2089,856,3763,0,229,46882,,,1814,588,475,559,736,310,308,94848,1462,1508,916,5967,64592,"Sutter County, California",06,101,2014
9,67118,146629,377865,7757,5512,15247,309695,43601,103204,114812,156885,128701,552,1135,3714,2532,5273,132742,103033,68895,12525,21613,29709,22321,336608,66150,81561,8284,4158,15180,50,3091,216454,,,7293,7565,7722,5285,3204,1981,710,453934,10221,9469,3582,14574,298211,"Tulare County, California",06,107,2014
10,193377,179112,681601,13518,7959,60326,493312,150663,223610,230606,350924,304592,6388,2530,6360,4256,21866,269869,199452,150205,15246,34001,70417,55827,677705,121805,176264,16130,7346,27367,57,2101,413451,144803,97925,5885,5300,5550,4688,3407,1547,1356,840584,10442,8443,26106,40999,598343,"Ventura County, California",06,111,2014
11,48331,32399,131402,6678,1654,28058,124829,35480,58661,64255,70050,60848,3408,9180,4003,1410,3670,72228,44301,32897,3827,7577,27927,17328,170231,34447,38989,5821,1991,6623,40,349,103760,,,7324,2848,1023,1157,1596,637,433,206136,7000,5138,4601,8802,153668,"Yolo County, California",06,113,2014
12,21184,10270,52989,1794,1568,4285,49146,14200,21763,22303,,,,,,,,25732,19423,12707,2393,4323,6309,4931,56782,10163,14135,511,547,3419,0,522,35329,,,594,799,768,584,437,324,367,71912,2049,1973,434,5524,46294,"Yuba County, California",06,115,2014
13,123938,95421,403077,15119,7788,19265,251231,150053,137228,141215,211312,181760,9822,811,3119,1370,8758,159422,113311,77505,10285,25521,46111,35866,367695,66907,92657,10079,4311,20342,515,1968,228041,,,2780,3676,3263,2555,1459,1058,455,477669,8306,5439,5211,25989,321568,"Adams County, Colorado",08,001,2014
14,187825,58512,445668,64678,4354,32850,240873,272287,186115,193394,278862,251619,13811,1392,3867,2198,17758,232763,156448,116203,12414,27831,76315,59774,492314,84385,129173,8570,4316,22625,34,2114,301592,,,3712,3508,3971,3499,2601,563,601,614425,11709,7080,16187,37979,428272,"Arapahoe County, Colorado",08,005,2014
15,123039,21835,276324,3253,2480,14136,105362,169666,109117,109645,122920,109488,8204,6574,7177,1553,17550,123690,73481,58121,5285,10075,50209,33634,260951,53947,62877,3502,1886,11670,0,867,151879,,,8632,1832,2092,984,1158,746,218,311305,8134,4610,11550,14836,234972,"Boulder County, Colorado",08,013,2014
16,176808,103782,520398,62757,7326,24784,273093,270021,206935,213400,280839,248991,26183,8848,14685,3052,21675,281928,138354,96558,12207,29589,143574,108942,542686,122148,112974,13524,4670,30766,220,2342,318013,,,5395,8418,4875,4896,5600,2104,893,657775,25366,12361,20036,32277,492908,"Denver County, Colorado",08,031,2014
17,131006,12881,282577,4025,713,12019,118952,169775,101466,105099,138714,128407,3770,410,2130,1708,16755,108135,84076,70557,4853,8666,24059,19092,240538,31272,76001,3174,1562,9132,5,240,153192,,,858,886,632,479,247,184,265,313890,2527,1211,15277,18073,207172,"Douglas County, Colorado",08,035,2014
18,234319,54645,524761,38303,3475,19301,219082,374601,233074,222941,280642,249597,2210,1880,9068,4509,18567,245158,168476,128799,11636,28041,76682,61587,524559,88622,141053,8962,5299,28422,231,1889,314810,,,6267,5727,4136,3134,2768,1214,440,633357,14018,10028,11466,83808,385883,"El Paso County, Colorado",08,041,2014
19,218723,41884,508531,6274,5199,14944,262690,252324,202653,204451,258929,236512,10313,1469,4140,2330,22986,224502,142875,115022,9952,17901,81627,65749,463202,74817,124184,7039,5233,25152,250,1413,272064,,,4582,2228,2310,2065,1546,1324,624,551994,8560,7557,15978,39732,402221,"Jefferson County, Colorado",08,059,2014
20,133973,18053,295280,3133,2664,6030,132718,173057,120620,123178,140283,124784,2034,6170,3109,930,10740,125165,77488,60357,7286,9845,47677,33286,268774,51590,63649,2887,1896,15609,0,867,158053,,,9860,2549,945,678,1748,471,606,321651,7944,3714,5259,19601,237903,"Larimer County, Colorado",08,069,2014
21,59899,10606,139247,971,1621,1234,77703,64117,54006,56293,,,,,,,,59703,36778,28503,1831,6444,22925,17587,120875,19293,30635,1454,1903,7438,186,1349,72481,,,2282,1719,625,1072,1267,556,213,146978,5373,3407,1270,11495,104082,"Mesa County, Colorado",08,077,2014
22,41896,34007,124609,3470,3606,1246,100609,50312,55734,60101,59963,52300,781,849,1333,381,1255,63385,42082,27802,4092,10188,21303,17499,130678,21595,30334,2362,2489,9113,348,476,80026,,,1879,1883,1976,1585,1426,543,478,158041,6036,4315,1167,14171,109996,"Pueblo County, Colorado",08,101,2014
23,92265,41034,247795,2834,2035,3131,146277,102858,87679,91372,121939,105514,714,496,4273,1219,6121,96803,70251,54587,5085,10579,26552,19921,214374,33701,62201,3913,1973,9404,86,694,132060,,,2688,1459,779,874,884,323,305,275353,4133,3006,3705,17292,185349,"Weld County, Colorado",08,123,2014
24,292558,89932,693016,103807,2090,48920,403534,312774,256299,281517,367590,332102,46640,1670,12817,4016,27873,338421,235414,176577,15617,43220,103007,85826,763680,133813,197503,14281,7739,28609,75,2195,469620,74011,62555,4514,4427,3359,4377,2485,2222,1561,937004,16517,10569,64815,36769,685129,"Fairfield County, Connecticut",09,001,2014
25,273811,74858,651664,120884,2592,44427,513329,206073,277066,305033,389022,354927,13517,1139,9886,4117,16993,346525,227141,158564,18024,50553,119384,101513,739590,133092,178165,11790,7767,35441,575,3613,448537,69493,39270,5457,5915,4912,5737,2723,1970,1668,882754,23014,12529,27938,46778,655558,"Hartford County, Connecticut",09,003,2014
26,81500,4994,170839,4634,213,3620,125062,45264,67370,70120,85564,78904,871,143,1561,653,5527,73572,50500,39787,3036,7677,23072,18055,156567,23222,42692,2154,2238,8671,0,206,90984,,,1484,414,360,893,1348,487,265,183610,3429,1742,4241,11641,137456,"Litchfield County, Connecticut",09,005,2014
27,68090,5015,146206,8378,173,5065,104781,45875,58534,63079,79523,72633,981,106,2283,1362,4680,67106,43121,33025,2839,7257,23985,19611,139631,23128,36854,2733,797,7039,47,626,81352,,,452,848,786,594,1112,324,307,162823,3295,1838,5973,11693,121190,"Middlesex County, Connecticut",09,007,2014
28,268190,71864,641620,110111,816,31449,542573,183259,274613,312402,354491,321870,18038,2140,17121,3035,15830,326050,197715,144533,14020,39162,128335,110399,713744,136348,163474,14962,10673,29865,28,2065,433173,62869,33754,7678,6208,3879,5323,5030,1544,1758,850529,24576,14703,21885,41429,638017,"New Haven County, Connecticut",09,009,2014
29,103204,13472,221316,16418,942,10926,142617,99950,98761,97584,124909,109648,2838,453,6347,1093,5335,105504,67503,48599,5544,13360,38001,31746,228321,45269,53718,4360,2898,11973,561,591,133135,,,1599,637,1333,1530,1045,540,287,260843,5661,4193,6076,23447,187312,"New London County, Connecticut",09,011,2014
30,64758,,134614,4678,0,5488,92205,46163,56249,57136,,,,,,,,53984,35398,28625,1925,4848,18586,13694,129209,27046,31111,2017,1277,5463,0,527,73359,,,1647,415,0,318,522,209,104,148518,2308,1358,4032,9008,114316,"Tolland County, Connecticut",09,013,2014
31,48124,6380,104674,2947,259,1507,68818,38024,42946,44798,52392,46603,339,38,1709,746,1757,44655,30471,20963,3766,5742,14184,11465,97154,18058,22803,1662,1013,5795,66,658,57592,,,198,278,290,710,350,283,167,115201,2518,1619,895,8291,84583,"Windham County, Connecticut",09,015,2014
32,52994,6099,116236,40749,925,4298,75427,84204,58748,64699,72302,63648,1202,376,972,717,2349,61270,43053,30131,2852,10070,18217,14214,138002,22959,34146,2122,1633,6817,0,609,86201,,,1607,506,1018,590,764,419,419,168813,4412,2678,1180,20677,108587,"Kent County, Delaware",10,001,2014
33,159129,26470,356714,135575,1188,29442,258151,227284,178153,199093,231790,213107,10539,526,6735,2736,12718,202204,129950,91010,11220,27720,72254,59564,451036,84737,100450,9236,6733,23878,338,1529,277121,,,5044,2333,2767,2737,2463,1081,796,543799,13674,7208,13018,32777,396896,"New Castle County, Delaware",10,003,2014
34,75891,10836,174583,27002,1171,2432,92926,101548,75389,81058,83390,77595,894,154,2002,1144,4220,86269,59997,44221,4085,11691,26272,22524,176453,24849,48851,3748,2462,9116,52,1046,103691,,,720,1475,1368,1441,1727,763,418,208318,5219,2845,3994,18563,151578,"Sussex County, Delaware",10,005,2014
35,117587,35063,265077,321346,1859,24910,238581,316189,213786,245121,139694,120528,123707,13330,44965,4354,17012,277378,117864,66244,9496,42124,159514,123743,559363,150865,84037,15252,4615,22557,305,3363,334259,30938,21979,9085,7134,3211,4806,5978,1627,1431,647966,31498,10973,37354,28055,512419,"District of Columbia, District of Columbia",11,001,2014
36,78108,11423,178844,49792,733,14476,131276,95721,89216,98090,94794,87186,4981,2564,4167,1995,4273,97215,51577,38021,2887,10669,45638,32543,217583,50735,42297,2392,2484,8859,0,879,127652,,,11373,3995,1518,979,1729,1003,499,253696,13123,5433,4201,15609,194465,"Alachua County, Florida",12,001,2014
37,69331,4250,146131,18518,1860,3792,73394,90094,65134,66216,70238,61716,547,612,1452,1561,1983,66024,44305,33413,3733,7159,21719,18507,146427,22660,38596,4553,2278,8683,37,786,88251,,,2153,998,1272,761,1297,543,438,174763,6521,2958,2195,21683,116169,"Bay County, Florida",12,005,2014
38,207280,25310,461038,59579,1622,13843,185135,311985,197689,210037,204826,182489,1439,1909,1986,4225,12663,225226,143657,107099,9421,27137,81569,68044,472391,67935,124064,10753,6722,29835,0,1581,278068,,,3670,6192,1446,4368,5206,2334,1107,552033,17154,11484,7515,65610,386041,"Brevard County, Florida",12,009,2014
39,369052,250294,1177153,518878,5733,68879,627827,576004,433674,455846,799044,718526,27124,4710,10930,11094,47309,665192,424238,285905,33964,104369,240954,196483,1536054,282526,350390,44929,20834,84764,439,5869,926685,264768,175421,15694,12234,10992,14893,14327,7053,5485,1857803,46111,36117,31603,80176,1385159,"Broward County, Florida",12,011,2014
40,69028,5957,152008,8834,250,2526,34261,115078,63956,67160,,,,,,,,75234,47941,39941,2276,5724,27293,24081,151459,17190,44918,2916,4115,7466,0,355,84916,,,1372,296,772,563,1456,557,676,165179,5323,4675,1714,20038,127196,"Charlotte County, Florida",12,015,2014
41,59641,,128966,4550,469,1828,39794,89171,53395,57236,,,,,,,,60315,39382,30960,2649,5773,20933,18498,122701,13125,34417,2382,3181,8114,0,429,,,,1235,1495,797,1889,1865,1036,959,137651,5556,5271,1409,18112,100163,"Citrus County, Florida",12,017,2014
