,B27001_001E,B27001_002E,B29001_001E,B29001_002E,B29001_003E,B29001_004E,B29001_005E,B29002_001E,B29002_002E,B29002_003E,B29002_004E,B29002_005E,B29002_006E,B29002_007E,B29002_008E,B29003_001E,B29003_002E,B29003_003E,NAME,state,county,year
0,210224,102835,160966,25883,36090,57407,41586,160966,4167,12230,42134,38462,12545,35420,16008,158552,14230,144322,"Baldwin County, Alabama",01,003,2017
1,113033,54076,88353,18017,20342,30123,19871,88353,2844,9706,30315,23553,6125,8940,6870,85490,13940,71550,"Calhoun County, Alabama",01,015,2017
2,81881,40375,63370,12216,14462,21816,14876,63370,2465,8422,22640,15373,7193,4676,2601,62371,8013,54358,"Cullman County, Alabama",01,043,2017
3,70863,34112,50227,10025,10859,17554,11789,50227,3073,6849,18259,11186,3654,4689,2517,49479,7284,42195,"DeKalb County, Alabama",01,049,2017
4,76213,35458,62900,13194,15800,21783,12123,62900,1897,6782,21415,12689,5878,9241,4998,57997,6156,51841,"Elmore County, Alabama",01,051,2017
5,101960,48829,78908,14539,17633,27579,19157,78908,2682,9882,26110,19040,6899,8844,5451,78075,11119,66956,"Etowah County, Alabama",01,055,2017
6,103579,49631,79377,15187,18949,27393,17848,79377,2589,7781,26402,18487,7710,10396,6012,78769,10656,68113,"Houston County, Alabama",01,069,2017
7,652276,307315,492044,104865,121604,165460,100115,492044,10111,38092,132575,117328,41563,98476,53899,479967,69018,410949,"Jefferson County, Alabama",01,073,2017
8,91578,42884,73253,15353,15695,24042,18163,73253,1651,6628,25818,19058,4313,10070,5715,71323,8353,62970,"Lauderdale County, Alabama",01,077,2017
9,159847,77244,122574,40186,29182,34729,18477,122574,1937,6782,30153,41074,9620,18795,14213,116745,20889,95856,"Lee County, Alabama",01,081,2017
10,91288,45069,72079,14499,17726,25341,14513,72079,3241,6073,19364,17190,6657,13803,5751,69093,6825,62268,"Limestone County, Alabama",01,083,2017
11,355634,172970,272658,58796,64078,97296,52488,272658,5078,16635,57725,68119,21225,64306,39570,264888,28819,236069,"Madison County, Alabama",01,089,2017
12,94754,45863,66054,12987,14251,23037,15779,66054,3555,6890,20761,16375,5942,8205,4326,65183,10197,54986,"Marshall County, Alabama",01,095,2017
13,409996,193517,311242,66939,73450,105610,65243,311242,9031,31329,109711,72507,23674,41999,22991,305843,47245,258598,"Mobile County, Alabama",01,097,2017
14,221441,102430,166733,38188,41174,54526,32845,166733,6229,16584,45854,38857,11183,28872,19154,160371,25963,134408,"Montgomery County, Alabama",01,101,2017
15,116784,58411,88698,16549,20671,30639,20839,88698,2781,8308,28761,23597,8802,11722,4727,86787,11250,75537,"Morgan County, Alabama",01,103,2017
16,86113,41960,67363,11340,17369,24059,14595,67363,2727,6187,25342,17596,5430,6784,3297,65293,9200,56093,"St. Clair County, Alabama",01,115,2017
17,211902,103000,156990,29096,40409,56059,31426,156990,2738,7686,32898,38158,12179,41719,21612,154751,9938,144813,"Shelby County, Alabama",01,117,2017
18,76760,36327,61588,11811,14206,21636,13935,61588,2769,6466,22386,15436,6706,5048,2777,58337,8118,50219,"Talladega County, Alabama",01,121,2017
19,206347,99731,159635,51080,34642,47308,26605,159635,4850,14004,43828,45179,9839,25262,16673,150226,21701,128525,"Tuscaloosa County, Alabama",01,125,2017
20,63250,30408,49649,9235,10233,18189,11992,49649,2753,5499,18778,13200,4222,3283,1914,48865,8267,40598,"Walker County, Alabama",01,127,2017
21,283558,140978,209820,53436,59427,67017,29940,209820,3706,11239,52720,56714,19043,40748,25650,204006,15189,188817,"Anchorage Municipality, Alaska",02,020,2017
22,92530,46373,73830,24229,19617,20701,9283,73830,1188,4138,17991,25595,6231,11391,7296,69722,4562,65160,"Fairbanks North Star Borough, Alaska",02,090,2017
23,104928,54050,76170,16007,21154,27003,12006,76170,1938,5447,26788,20748,6004,10383,4862,75099,8474,66625,"Matanuska-Susitna Borough, Alaska",02,170,2017
24,70927,35113,51369,11732,12343,16662,10632,51369,4025,6745,15115,16014,4078,3682,1710,50582,15014,35568,"Apache County, Arizona",04,001,2017
25,116440,56361,91693,17855,19051,29000,25787,91693,2501,6713,21856,29983,9642,12203,8795,85488,10483,75005,"Cochise County, Arizona",04,003,2017
26,139899,69568,108550,37502,23359,31228,16461,108550,2697,5992,28399,32112,7270,19449,12631,96538,17401,79137,"Coconino County, Arizona",04,005,2017
27,4274932,2107923,2915510,647311,720224,938251,609724,2915510,86043,190696,700398,786906,256367,586401,308699,2878018,293884,2584134,"Maricopa County, Arizona",04,013,2017
28,204245,101598,165633,23823,25220,56220,60370,165633,5570,17583,59951,47073,13885,12770,8801,162794,23514,139280,"Mohave County, Arizona",04,015,2017
29,106301,52717,77635,15725,16229,27374,18307,77635,3714,9500,24029,22774,5062,7513,5043,75199,17136,58063,"Navajo County, Arizona",04,017,2017
