B01001_002E,Estimate!!Total!!Male,SEX BY AGE
B01001H_002E,Estimate!!Total!!Male,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)"
B01001I_002E,Estimate!!Total!!Male,SEX BY AGE (HISPANIC OR LATINO)
B02001_002E,Estimate!!Total!!White alone,RACE
B02001_003E,Estimate!!Total!!Black or African American alone,RACE
B02001_004E,Estimate!!Total!!American Indian and Alaska Native alone,RACE
B02001_005E,Estimate!!Total!!Asian alone,RACE
B05002_003E,Estimate!!Total!!Native!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
B05002_004E,Estimate!!Total!!Native!!Born in other state in the United States,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
B05003_009E,Estimate!!Total!!Male!!18 years and over!!Native,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS
B05003_020E,Estimate!!Total!!Female!!18 years and over!!Native,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS
B08006_002E,"Estimate!!Total!!Car, truck, or van",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_003E,"Estimate!!Total!!Car, truck, or van!!Drove alone",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_008E,Estimate!!Total!!Public transportation (excluding taxicab),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_014E,Estimate!!Total!!Bicycle,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_015E,Estimate!!Total!!Walked,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_016E,"Estimate!!Total!!Taxicab, motorcycle, or other means",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08006_017E,Estimate!!Total!!Worked at home,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B11001_001E,Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_002E,Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_003E,Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_005E,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_006E,"Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_007E,Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B11001_008E,Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)
B12001_001E,Estimate!!Total,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12001_003E,Estimate!!Total!!Male!!Never married,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12001_004E,Estimate!!Total!!Male!!Now married,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12001_006E,"Estimate!!Total!!Male!!Now married!!Married, spouse absent",SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12001_009E,Estimate!!Total!!Male!!Widowed,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12001_010E,Estimate!!Total!!Male!!Divorced,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B13002_008E,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed, and divorced)!!15 to 19 years old",WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE
B13002_009E,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed, and divorced)!!20 to 34 years old",WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE
B14002_026E,Estimate!!Total!!Female,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER
B16001_004E,"Estimate!!Total!!Spanish!!Speak English ""very well""",LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B16001_005E,"Estimate!!Total!!Spanish!!Speak English less than ""very well""",LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B17001_010E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!18 to 24 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_011E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!25 to 34 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_012E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!35 to 44 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_013E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!45 to 54 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_014E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!55 to 64 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_015E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!65 to 74 years,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001_016E,Estimate!!Total!!Income in the past 12 months below poverty level!!Male!!75 years and over,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B18101_001E,Estimate!!Total,SEX BY AGE BY DISABILITY STATUS
B19001_002E,"Estimate!!Total!!Less than $10,000",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)
B19001_003E,"Estimate!!Total!!$10,000 to $14,999",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)
B19001_017E,"Estimate!!Total!!$200,000 or more",HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)
B21001_002E,Estimate!!Total!!Veteran,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B21001_003E,Estimate!!Total!!Nonveteran,SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER
B27001_001E,Estimate!!Total,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE
B27001_002E,Estimate!!Total!!Male,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE
B29001_001E,Estimate!!Total,"CITIZEN, VOTING-AGE POPULATION BY AGE"
B29001_002E,Estimate!!Total!!18 to 29 years,"CITIZEN, VOTING-AGE POPULATION BY AGE"
B29001_003E,Estimate!!Total!!30 to 44 years,"CITIZEN, VOTING-AGE POPULATION BY AGE"
B29001_004E,Estimate!!Total!!45 to 64 years,"CITIZEN, VOTING-AGE POPULATION BY AGE"
B29001_005E,Estimate!!Total!!65 years and over,"CITIZEN, VOTING-AGE POPULATION BY AGE"
B29002_001E,Estimate!!Total,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_002E,Estimate!!Total!!Less than 9th grade,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_003E,"Estimate!!Total!!9th to 12th grade, no diploma","CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_004E,Estimate!!Total!!High school graduate (includes equivalency),"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_005E,"Estimate!!Total!!Some college, no degree","CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_006E,Estimate!!Total!!Associate's degree,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_007E,Estimate!!Total!!Bachelor's degree,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29002_008E,Estimate!!Total!!Graduate or professional degree,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT"
B29003_001E,Estimate!!Total,"CITIZEN, VOTING-AGE POPULATION BY POVERTY STATUS"
B29003_002E,Estimate!!Total!!Income in the past 12 months below poverty level,"CITIZEN, VOTING-AGE POPULATION BY POVERTY STATUS"
B29003_003E,Estimate!!Total!!Income in the past 12 months at or above the poverty level,"CITIZEN, VOTING-AGE POPULATION BY POVERTY STATUS"
