DATE,HC01ESTVC1627001,MNAITK1URN,PCPI27001,MNAITK1LFN,B03002003E027001,MHIMN27001A052NCEN,PI27001,MNAITK1POP,NETMIGNACS027001,HOWNRATEACS027001,FBITC027001,RACEDISPARITY027001,CBR27001MNA647NCEN,2020RATIO027001,B14005DCYACS027001,DP04ACS027001,CDC20N2U027001,USPTOISSUED027001,PUAAMN27001A647NCEN,B01002001E027001,B080ACS027001,CDC20N2UAA027001,ATNHPIUS27001A,EQFXSUBPRIME027001,HC01ESTVC1727001,S1701ACS027001,B03002006E027001,B03002012E027001,ENU2700120510,BPPRIV027001,MHICILBMN27001A052NCEN,MHICIUBMN27001A052NCEN,B03002005E027001,PUA0T17MN27001A647NCEN,PUA5T17RMN27001A647NCEN,S1101SPHOUSE027001,PEAAMN27001A647NCEN,PPAAMN27001A156NCEN,PECILBAAMN27001A647NCEN,PECIUBAAMN27001A647NCEN,PPCILBAAMN27001A156NCEN,DMPCRATE027001,PPCIUBAAMN27001A156NCEN,S1501ACSTOTAL027001,PE5T17MN27001A647NCEN,PP5T17MN27001A156NCEN,PECILB5T17MN27001A647NCEN,PECIUB5T17MN27001A647NCEN,PPCILB5T17MN27001A156NCEN,PEU18MN27001A647NCEN,PPU18MN27001A156NCEN,B03002004E027001,PECILBU18MN27001A647NCEN,PECIUBU18MN27001A647NCEN,PPCILBU18MN27001A156NCEN,PPCIUB5T17MN27001A156NCEN,PPCIUBU18MN27001A156NCEN,county
1991-01-01,,14.0,13984.0,5387,,,176240.0,12.603,,,,,,,,,,,,,,,,,,,,,311.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-02-01,,14.1,,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-03-01,,13.8,,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-04-01,,12.3,,5532,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-05-01,,10.6,,5449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-06-01,,11.3,,5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-07-01,,9.4,,5139,,,,,,,,,,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-08-01,,8.9,,5410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-09-01,,8.5,,5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-10-01,,8.1,,5216,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-11-01,,11.2,,5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1991-12-01,,12.5,,5194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-01-01,,15.6,14613.0,5325,,,187408.0,12.825,,,,,,,,,,,,,,,,,,,,,309.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-02-01,,15.3,,5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-03-01,,14.6,,5308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-04-01,,13.5,,5340,,,,,,,,,,,,,,,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-05-01,,10.6,,5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-06-01,,11.0,,5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-07-01,,10.1,,5252,,,,,,,,,,,,,,,,,,,,,,,,,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
1992-08-01,,9.6,,5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AITKIN
