DATE,PCPI27011,MNBIGS1URN,MNBIGS1POP,PUAAMN27011A647NCEN,MHIMN27011A052NCEN,PECIUBU18MN27011A647NCEN,PEAAMN27011A647NCEN,PPU18MN27011A156NCEN,RACEDISPARITY027011,PI27011,2020RATIO027011,B14005DCYACS027011,DP04ACS027011,HOWNRATEACS027011,NETMIGNACS027011,MNBIGS1LFN,CDC20N2U027011,CBR27011MNA647NCEN,PUA0T17MN27011A647NCEN,B01002001E027011,B080ACS027011,CDC20N2UAA027011,EQFXSUBPRIME027011,PUA5T17RMN27011A647NCEN,PEU18MN27011A647NCEN,DMPCRATE027011,HC01ESTVC1727011,S1701ACS027011,HC01ESTVC1627011,B03002003E027011,B03002006E027011,B03002012E027011,ENU2701120510,PPAAMN27011A156NCEN,PE5T17MN27011A647NCEN,BPPRIV027011,B03002004E027011,FBITC027011,PP5T17MN27011A156NCEN,MHICILBMN27011A052NCEN,MHICIUBMN27011A052NCEN,B03002005E027011,PECILBU18MN27011A647NCEN,PECILBAAMN27011A647NCEN,PECIUBAAMN27011A647NCEN,S1101SPHOUSE027011,PPCILBU18MN27011A156NCEN,PPCIUBU18MN27011A156NCEN,PPCILBAAMN27011A156NCEN,PPCIUBAAMN27011A156NCEN,S1501ACSTOTAL027011,PECILB5T17MN27011A647NCEN,PECIUB5T17MN27011A647NCEN,PPCILB5T17MN27011A156NCEN,PPCIUB5T17MN27011A156NCEN,county
1991-01-01,15181.0,7.7,6.206,,,,,,,94213.0,,,,,,2841,,,,,,,,,,,,,,,,,169.0,,,5.0,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-02-01,,7.7,,,,,,,,,,,,,,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-03-01,,7.8,,,,,,,,,,,,,,2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-04-01,,6.4,,,,,,,,,,,,,,2847,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-05-01,,3.9,,,,,,,,,,,,,,2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-06-01,,3.7,,,,,,,,,,,,,,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-07-01,,3.3,,,,,,,,,,,,,,2943,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-08-01,,2.7,,,,,,,,,,,,,,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-09-01,,3.8,,,,,,,,,,,,,,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-10-01,,2.9,,,,,,,,,,,,,,2897,,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-11-01,,4.9,,,,,,,,,,,,,,2874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1991-12-01,,6.0,,,,,,,,,,,,,,2817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-01-01,16105.0,7.8,6.075,,,,,,,97838.0,,,,,,2744,,,,,,,,,,,,,,,,,174.0,,,8.0,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-02-01,,7.8,,,,,,,,,,,,,,2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-03-01,,7.1,,,,,,,,,,,,,,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-04-01,,5.2,,,,,,,,,,,,,,2764,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-05-01,,3.9,,,,,,,,,,,,,,2870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-06-01,,3.9,,,,,,,,,,,,,,2894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-07-01,,3.6,,,,,,,,,,,,,,2910,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-08-01,,3.7,,,,,,,,,,,,,,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-09-01,,3.3,,,,,,,,,,,,,,2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-10-01,,2.9,,,,,,,,,,,,,,2851,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-11-01,,4.8,,,,,,,,,,,,,,2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1992-12-01,,7.1,,,,,,,,,,,,,,2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-01-01,13611.0,9.3,6.087999999999999,,23966.0,348.0,818.0,18.3,,82861.0,,,,,,2883,,422.0,,,,,,,282.0,,,,,,,,171.0,13.8,205.0,4.0,,,17.5,21654.0,26265.0,,216.0,643.0,993.0,,14.0,22.5,10.9,16.8,,152.0,257.0,13.0,22.0,BIG STONE
1993-02-01,,9.9,,,,,,,,,,,,,,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-03-01,,9.4,,,,,,,,,,,,,,2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-04-01,,7.7,,,,,,,,,,,,,,2853,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-05-01,,4.4,,,,,,,,,,,,,,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-06-01,,5.1,,,,,,,,,,,,,,2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
1993-07-01,,4.5,,,,,,,,,,,,,,2877,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,BIG STONE
