DATE,MNBROW5URN,2020RATIO027015,B01002001E027015,B080ACS027015,PCPI27015,EQFXSUBPRIME027015,PI27015,ATNHPIUS27015A,HC01ESTVC1627015,MHIMN27015A052NCEN,B03002012E027015,HOWNRATEACS027015,S1101SPHOUSE027015,PEAAMN27015A647NCEN,PPAAMN27015A156NCEN,DMPCRATE027015,RACEDISPARITY027015,B03002003E027015,B03002006E027015,B03002005E027015,B03002004E027015,CBR27015MNA647NCEN,B14005DCYACS027015,DP04ACS027015,MNBROW5POP,MNBROW5LFN,CDC20N2U027015,USPTOISSUED027015,PUAAMN27015A647NCEN,CDC20N2UAA027015,HC01ESTVC1727015,S1701ACS027015,ENU2701520510,BPPRIV027015,MHICILBMN27015A052NCEN,MHICIUBMN27015A052NCEN,PUA0T17MN27015A647NCEN,PUA5T17RMN27015A647NCEN,NETMIGNACS027015,PECILBAAMN27015A647NCEN,PECIUBAAMN27015A647NCEN,PPCILBAAMN27015A156NCEN,PPCIUBAAMN27015A156NCEN,FBITC027015,S1501ACSTOTAL027015,PE5T17MN27015A647NCEN,PP5T17MN27015A156NCEN,PECILB5T17MN27015A647NCEN,PECIUB5T17MN27015A647NCEN,PPCILB5T17MN27015A156NCEN,PEU18MN27015A647NCEN,PPU18MN27015A156NCEN,PECILBU18MN27015A647NCEN,PECIUBU18MN27015A647NCEN,PPCILBU18MN27015A156NCEN,PPCIUB5T17MN27015A156NCEN,PPCIUBU18MN27015A156NCEN,county
1991-01-01,7.3,,,,17245.0,,465052.0,64.54,,,,,,,,,,,,,,,,,26.967,14102,,,,,,,730.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-02-01,6.7,,,,,,,,,,,,,,,,,,,,,,,,,14008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-03-01,6.2,,,,,,,,,,,,,,,,,,,,,,,,,13957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-04-01,4.9,,,,,,,,,,,,,,,,,,,,,,,,,13984,,,,,,,729.0,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-05-01,3.8,,,,,,,,,,,,,,,,,,,,,,,,,14127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-06-01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,14583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-07-01,3.3,,,,,,,,,,,,,,,,,,,,,,,,,14719,,,,,,,730.0,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-08-01,3.2,,,,,,,,,,,,,,,,,,,,,,,,,14713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-09-01,3.1,,,,,,,,,,,,,,,,,,,,,,,,,14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
1991-10-01,2.7,,,,,,,,,,,,,,,,,,,,,,,,,14604,,,,,,,738.0,,,,,,,,,,,,,,,,,,,,,,,,,BROWN
