DATE,MNCARL7URN,B03002005E027017,USPTOISSUED027017,PUAAMN27017A647NCEN,B01002001E027017,ATNHPIUS27017A,PCPI27017,ENU2701720510,BPPRIV027017,MHIMN27017A052NCEN,MNCARL7POP,MNCARL7LFN,MHICILBMN27017A052NCEN,PI27017,MHICIUBMN27017A052NCEN,EQFXSUBPRIME027017,2020RATIO027017,B03002003E027017,B03002006E027017,NETMIGNACS027017,B03002012E027017,CDC20N2U027017,B080ACS027017,S1101SPHOUSE027017,HOWNRATEACS027017,PEAAMN27017A647NCEN,PPAAMN27017A156NCEN,DMPCRATE027017,PPCIUBAAMN27017A156NCEN,FBITC027017,RACEDISPARITY027017,B03002004E027017,CBR27017MNA647NCEN,S1701ACS027017,DP04ACS027017,CDC20N2UAA027017,B14005DCYACS027017,HC01ESTVC1727017,HC01ESTVC1627017,PUA0T17MN27017A647NCEN,PUA5T17RMN27017A647NCEN,PECILBAAMN27017A647NCEN,PECIUBAAMN27017A647NCEN,PPCILBAAMN27017A156NCEN,S1501ACSTOTAL027017,PE5T17MN27017A647NCEN,PP5T17MN27017A156NCEN,PECILB5T17MN27017A647NCEN,PECIUB5T17MN27017A647NCEN,PPCILB5T17MN27017A156NCEN,PPCIUB5T17MN27017A156NCEN,PEU18MN27017A647NCEN,PPU18MN27017A156NCEN,PECILBU18MN27017A647NCEN,PECIUBU18MN27017A647NCEN,PPCILBU18MN27017A156NCEN,PPCIUBU18MN27017A156NCEN,county
1991-01-01,9.6,,,,,60.62,15047.0,563.0,127.0,,29.471999999999998,13428,,443458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-02-01,10.2,,,,,,,,,,,13492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-03-01,10.6,,,,,,,,,,,13636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-04-01,9.2,,,,,,,570.0,,,,13769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-05-01,8.1,,,,,,,,,,,14036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-06-01,8.3,,,,,,,,,,,14089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-07-01,7.3,,,,,,,570.0,,,,13518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-08-01,7.1,,,,,,,,,,,13667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-09-01,6.5,,,,,,,,,,,13825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-10-01,6.0,,,,,,,573.0,,,,13971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-11-01,7.2,,,,,,,,,,,13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1991-12-01,7.6,,,,,,,,,,,13869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-01-01,10.0,,,,,64.29,16130.0,568.0,182.0,,29.656,14274,,478363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-02-01,9.7,,,,,,,,,,,14408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-03-01,9.5,,,,,,,,,,,14455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-04-01,8.4,,,,,,,572.0,,,,14725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-05-01,8.2,,,,,,,,,,,15047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-06-01,8.9,,,,,,,,,,,15130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-07-01,8.3,,,,,,,581.0,,,,13930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-08-01,8.1,,,,,,,,,,,13699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-09-01,8.4,,,,,,,,,,,14295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-10-01,7.3,,,,,,,584.0,,,,14731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-11-01,8.2,,,,,,,,,,,14660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1992-12-01,8.6,,,,,,,,,,,14422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1993-01-01,10.3,,,,,67.73,16658.0,588.0,135.0,30222.0,29.986,14505,27925.0,499521.0,32505.0,,,,,,,,,,,3500.0,11.6,,14.1,,,,2347.0,,,,,,,,,2772.0,4227.0,9.2,,900.0,13.6,682.0,1118.0,10.3,16.9,1357.0,15.6,1058.0,1655.0,12.2,19.0,CARLTON
1993-02-01,10.5,,,,,,,,,,,14613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1993-03-01,9.8,,,,,,,,,,,14686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1993-04-01,8.9,,,,,,,591.0,,,,15246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1993-05-01,8.2,,,,,,,,,,,15358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
1993-06-01,8.9,,,,,,,,,,,15249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLTON
