DATE,B080ACS027023,2020RATIO027023,B01002001E027023,MNCHIP3URN,EQFXSUBPRIME027023,CDC20N2U027023,ATNHPIUS27023A,ENU2702320510,MNCHIP3POP,PCPI27023,BPPRIV027023,MNCHIP3LFN,MHIMN27023A052NCEN,S1701ACS027023,PI27023,HOWNRATEACS027023,B03002012E027023,S1101SPHOUSE027023,NETMIGNACS027023,DMPCRATE027023,FBITC027023,RACEDISPARITY027023,B03002006E027023,B03002003E027023,B03002005E027023,B03002004E027023,CBR27023MNA647NCEN,PEU18MN27023A647NCEN,B14005DCYACS027023,DP04ACS027023,USPTOISSUED027023,PUAAMN27023A647NCEN,CDC20N2UAA027023,HC01ESTVC1727023,HC01ESTVC1627023,MHICILBMN27023A052NCEN,MHICIUBMN27023A052NCEN,PUA0T17MN27023A647NCEN,PUA5T17RMN27023A647NCEN,PEAAMN27023A647NCEN,PPAAMN27023A156NCEN,PECILBAAMN27023A647NCEN,PECIUBAAMN27023A647NCEN,PPCILBAAMN27023A156NCEN,PPCIUBAAMN27023A156NCEN,S1501ACSTOTAL027023,PE5T17MN27023A647NCEN,PP5T17MN27023A156NCEN,PECILB5T17MN27023A647NCEN,PECIUB5T17MN27023A647NCEN,PPCILB5T17MN27023A156NCEN,PPU18MN27023A156NCEN,PECILBU18MN27023A647NCEN,PECIUBU18MN27023A647NCEN,PPCILBU18MN27023A156NCEN,PPCIUB5T17MN27023A156NCEN,PPCIUBU18MN27023A156NCEN,county
1991-01-01,,,,9.6,,,,368.0,13.227,16503.0,13.0,6445,,,218284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-02-01,,,,7.4,,,,,,,,6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-03-01,,,,7.8,,,,,,,,6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-04-01,,,,5.9,,,,372.0,,,,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-05-01,,,,4.3,,,,,,,,6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-06-01,,,,4.5,,,,,,,,6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-07-01,,,,4.2,,,,370.0,,,,6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-08-01,,,,4.1,,,,,,,,6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-09-01,,,,4.2,,,,,,,,6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-10-01,,,,3.4,,,,374.0,,,,6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-11-01,,,,5.4,,,,,,,,6242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
1991-12-01,,,,6.9,,,,,,,,6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIPPEWA
