DATE,PUAAMN27025A647NCEN,MNCHIS5URN,B01002001E027025,CBR27025MNA647NCEN,MNCHIS5POP,MHIMN27025A052NCEN,PI27025,PCPI27025,ENU2702520510,BPPRIV027025,HC01ESTVC1627025,MNCHIS5LFN,EQFXSUBPRIME027025,2020RATIO027025,DP04ACS027025,B03002012E027025,CDC20N2U027025,B080ACS027025,S1101SPHOUSE027025,HOWNRATEACS027025,DMPCRATE027025,RACEDISPARITY027025,FBITC027025,B03002004E027025,B03002005E027025,B03002003E027025,B03002006E027025,PEU18MN27025A647NCEN,PPU18MN27025A156NCEN,NETMIGNACS027025,PUA0T17MN27025A647NCEN,PUA5T17RMN27025A647NCEN,USPTOISSUED027025,MHICILBMN27025A052NCEN,MHICIUBMN27025A052NCEN,S1701ACS027025,ATNHPIUS27025A,HC01ESTVC1727025,CDC20N2UAA027025,B14005DCYACS027025,PEAAMN27025A647NCEN,PPAAMN27025A156NCEN,PECILBAAMN27025A647NCEN,PECIUBAAMN27025A647NCEN,PPCILBAAMN27025A156NCEN,PPCIUBAAMN27025A156NCEN,S1501ACSTOTAL027025,PECILBU18MN27025A647NCEN,PECIUBU18MN27025A647NCEN,PPCILBU18MN27025A156NCEN,PE5T17MN27025A647NCEN,PP5T17MN27025A156NCEN,PECILB5T17MN27025A647NCEN,PECIUB5T17MN27025A647NCEN,PPCILB5T17MN27025A156NCEN,PPCIUB5T17MN27025A156NCEN,PPCIUBU18MN27025A156NCEN,county
1991-01-01,,9.5,,,31.241,,521554.0,16695.0,623.0,336.0,,16051,,,,,,,,,,,,,,,,,,,,,,,,,59.44,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-02-01,,10.0,,,,,,,,,,16184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-03-01,,10.1,,,,,,,,,,16315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-04-01,,8.2,,,,,,,633.0,,,16048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-05-01,,5.6,,,,,,,,,,15638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-06-01,,5.7,,,,,,,,,,15772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-07-01,,4.7,,,,,,,641.0,,,15806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-08-01,,4.7,,,,,,,,,,15736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-09-01,,5.7,,,,,,,,,,15677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-10-01,,5.8,,,,,,,648.0,,,15801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-11-01,,7.5,,,,,,,,,,16188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1991-12-01,,8.0,,,,,,,,,,16181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-01-01,,9.6,,,32.036,,579619.0,18093.0,642.0,417.0,,16567,,,,,,,,,,,,,,,,,,,,,,,,,61.05,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-02-01,,9.5,,,,,,,,,,16638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-03-01,,9.1,,,,,,,,,,16714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-04-01,,6.9,,,,,,,655.0,,,16355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-05-01,,5.8,,,,,,,,,,16204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
1992-06-01,,5.9,,,,,,,,,,16299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHISAGO
