DATE,2020RATIO027029,B01002001E027029,EQFXSUBPRIME027029,B080ACS027029,B03002012E027029,MNCLEA9URN,MNCLEA9POP,BPPRIV027029,CDC20N2U027029,PCPI27029,MHIMN27029A052NCEN,ENU2702920510,MNCLEA9LFN,CDC20N2UAA027029,PI27029,PUA5T17RMN27029A647NCEN,HOWNRATEACS027029,S1101SPHOUSE027029,NETMIGNACS027029,PEAAMN27029A647NCEN,PPAAMN27029A156NCEN,DMPCRATE027029,FBITC027029,RACEDISPARITY027029,B03002005E027029,B03002003E027029,B03002006E027029,B03002004E027029,CBR27029MNA647NCEN,B14005DCYACS027029,DP04ACS027029,USPTOISSUED027029,PUAAMN27029A647NCEN,HC01ESTVC1727029,S1701ACS027029,HC01ESTVC1627029,MHICILBMN27029A052NCEN,MHICIUBMN27029A052NCEN,PUA0T17MN27029A647NCEN,PEU18MN27029A647NCEN,PECILBAAMN27029A647NCEN,PECIUBAAMN27029A647NCEN,PPCILBAAMN27029A156NCEN,PPCIUBAAMN27029A156NCEN,S1501ACSTOTAL027029,PE5T17MN27029A647NCEN,PP5T17MN27029A156NCEN,PECILB5T17MN27029A647NCEN,PECIUB5T17MN27029A647NCEN,PPCILB5T17MN27029A156NCEN,PPU18MN27029A156NCEN,PECILBU18MN27029A647NCEN,PECIUBU18MN27029A647NCEN,PPCILBU18MN27029A156NCEN,PPCIUB5T17MN27029A156NCEN,PPCIUBU18MN27029A156NCEN,county
1991-01-01,,,,,,26.8,8.29,1.0,,12272.0,,176.0,3858,,101739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-02-01,,,,,,25.9,,,,,,,3834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-03-01,,,,,,25.6,,,,,,,3822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-04-01,,,,,,19.5,,,,,,179.0,3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-05-01,,,,,,14.7,,,,,,,3797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-06-01,,,,,,15.4,,,,,,,3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-07-01,,,,,,14.0,,,,,,181.0,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-08-01,,,,,,11.8,,,,,,,3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-09-01,,,,,,10.0,,,,,,,3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-10-01,,,,,,8.7,,,,,,183.0,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-11-01,,,,,,14.7,,,,,,,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1991-12-01,,,,,,19.5,,,,,,,3594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-01-01,,,,,,26.4,8.291,3.0,,12976.0,,180.0,3764,,107583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-02-01,,,,,,26.0,,,,,,,3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-03-01,,,,,,25.7,,,,,,,3751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-04-01,,,,,,19.5,,,,,,182.0,3719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-05-01,,,,,,15.0,,,,,,,3789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-06-01,,,,,,16.2,,,,,,,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-07-01,,,,,,13.9,,,,,,185.0,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-08-01,,,,,,12.3,,,,,,,3556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-09-01,,,,,,11.4,,,,,,,3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-10-01,,,,,,10.4,,,,,,190.0,3553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-11-01,,,,,,16.8,,,,,,,3734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
1992-12-01,,,,,,21.0,,,,,,,3956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLEARWATER
