DATE,MNCOTT3URN,PCPI27033,MHIMN27033A052NCEN,MNCOTT3POP,PUA0T17MN27033A647NCEN,PEAAMN27033A647NCEN,RACEDISPARITY027033,B03002004E027033,PI27033,2020RATIO027033,B14005DCYACS027033,DP04ACS027033,MNCOTT3LFN,CDC20N2U027033,PUAAMN27033A647NCEN,B01002001E027033,B080ACS027033,CDC20N2UAA027033,ATNHPIUS27033A,EQFXSUBPRIME027033,HC01ESTVC1727033,S1701ACS027033,HC01ESTVC1627033,B03002003E027033,B03002006E027033,B03002012E027033,ENU2703320510,BPPRIV027033,MHICILBMN27033A052NCEN,MHICIUBMN27033A052NCEN,B03002005E027033,PUA5T17RMN27033A647NCEN,HOWNRATEACS027033,NETMIGNACS027033,S1101SPHOUSE027033,PPAAMN27033A156NCEN,PECILBAAMN27033A647NCEN,PECIUBAAMN27033A647NCEN,PPCILBAAMN27033A156NCEN,DMPCRATE027033,PPCIUBAAMN27033A156NCEN,FBITC027033,S1501ACSTOTAL027033,PE5T17MN27033A647NCEN,PP5T17MN27033A156NCEN,PECILB5T17MN27033A647NCEN,PECIUB5T17MN27033A647NCEN,PPCILB5T17MN27033A156NCEN,CBR27033MNA647NCEN,PEU18MN27033A647NCEN,PPU18MN27033A156NCEN,PECILBU18MN27033A647NCEN,PECIUBU18MN27033A647NCEN,PPCILBU18MN27033A156NCEN,PPCIUB5T17MN27033A156NCEN,PPCIUBU18MN27033A156NCEN,county
1991-01-01,6.6,15995.0,,12.485999999999999,,,,,199708.0,,,,5814,,,,,,,,,,,,,,358.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-02-01,6.0,,,,,,,,,,,,5730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-03-01,6.1,,,,,,,,,,,,5784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-04-01,4.9,,,,,,,,,,,,5818,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-05-01,4.5,,,,,,,,,,,,5865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-06-01,5.6,,,,,,,,,,,,6044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-07-01,6.6,,,,,,,,,,,,5677,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-08-01,11.4,,,,,,,,,,,,6050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-09-01,6.1,,,,,,,,,,,,5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-10-01,4.7,,,,,,,,,,,,5798,,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-11-01,5.5,,,,,,,,,,,,5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1991-12-01,5.8,,,,,,,,,,,,5627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-01-01,7.7,16925.0,,12.575,,,,,212835.0,,,,5652,,,,,,68.78,,,,,,,,345.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-02-01,7.2,,,,,,,,,,,,5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-03-01,7.1,,,,,,,,,,,,5607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-04-01,5.5,,,,,,,,,,,,5794,,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-05-01,5.3,,,,,,,,,,,,5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-06-01,12.9,,,,,,,,,,,,6337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-07-01,12.3,,,,,,,,,,,,6064,,,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-08-01,11.3,,,,,,,,,,,,6083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-09-01,5.4,,,,,,,,,,,,5887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-10-01,4.6,,,,,,,,,,,,5901,,,,,,,,,,,,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-11-01,5.2,,,,,,,,,,,,5986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1992-12-01,5.6,,,,,,,,,,,,5880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-01-01,6.9,15009.0,26868.0,12.592,,1580.0,,,188990.0,,,,6067,,,,,,71.61,,,,,,,,351.0,17.0,24493.0,29229.0,,,,,,12.7,1247.0,1913.0,10.0,,15.3,,,398.0,15.6,299.0,498.0,11.7,855.0,561.0,16.9,435.0,688.0,13.1,19.5,20.7,COTTONWOOD
1993-02-01,6.1,,,,,,,,,,,,6027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-03-01,5.3,,,,,,,,,,,,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-04-01,4.6,,,,,,,,,,,,6083,,,,,,,,,,,,,,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-05-01,4.2,,,,,,,,,,,,6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-06-01,4.6,,,,,,,,,,,,6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-07-01,12.1,,,,,,,,,,,,6246,,,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-08-01,9.8,,,,,,,,,,,,6360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-09-01,4.4,,,,,,,,,,,,6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-10-01,4.1,,,,,,,,,,,,6114,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-11-01,4.2,,,,,,,,,,,,6130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1993-12-01,4.7,,,,,,,,,,,,6240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-01-01,6.9,19175.0,,12.605,,,,,241699.0,,,,6243,,,,,,76.2,,,,,,,,355.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-02-01,5.9,,,,,,,,,,,,6111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-03-01,5.7,,,,,,,,,,,,6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-04-01,4.3,,,,,,,,,,,,6119,,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-05-01,3.4,,,,,,,,,,,,6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-06-01,4.7,,,,,,,,,,,,6449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
1994-07-01,9.8,,,,,,,,,,,,6539,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COTTONWOOD
