DATE,MNCROW5URN,PCPI27035,MNCROW5LFN,MNCROW5POP,MHIMN27035A052NCEN,S1701ACS027035,CBR27035MNA647NCEN,PUA0T17MN27035A647NCEN,BPPRIV027035,ATNHPIUS27035A,PI27035,PEAAMN27035A647NCEN,PE5T17MN27035A647NCEN,NETMIGNACS027035,PPCIUBU18MN27035A156NCEN,RACEDISPARITY027035,PP5T17MN27035A156NCEN,2020RATIO027035,B14005DCYACS027035,DP04ACS027035,HOWNRATEACS027035,CDC20N2U027035,USPTOISSUED027035,PUAAMN27035A647NCEN,B01002001E027035,B080ACS027035,CDC20N2UAA027035,EQFXSUBPRIME027035,PUA5T17RMN27035A647NCEN,PEU18MN27035A647NCEN,DMPCRATE027035,HC01ESTVC1727035,HC01ESTVC1627035,PPU18MN27035A156NCEN,B03002003E027035,B03002006E027035,B03002012E027035,ENU2703520510,PPAAMN27035A156NCEN,B03002004E027035,FBITC027035,MHICILBMN27035A052NCEN,MHICIUBMN27035A052NCEN,B03002005E027035,PECILBU18MN27035A647NCEN,PECIUBU18MN27035A647NCEN,PECILBAAMN27035A647NCEN,PECIUBAAMN27035A647NCEN,S1101SPHOUSE027035,PPCILBU18MN27035A156NCEN,PPCILBAAMN27035A156NCEN,PPCIUBAAMN27035A156NCEN,S1501ACSTOTAL027035,PECILB5T17MN27035A647NCEN,PECIUB5T17MN27035A647NCEN,PPCILB5T17MN27035A156NCEN,PPCIUB5T17MN27035A156NCEN,county
1991-01-01,10.2,15984.0,20636,45.586999999999996,,,,,400.0,59.79,728648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1330.0,,,,,,,,,,,,,,,,,,,,CROW WING
1991-02-01,10.0,,20695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-03-01,10.2,,21112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-04-01,8.6,,21804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.0,,,,,,,,,,,,,,,,,,,,CROW WING
1991-05-01,6.6,,22792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-06-01,6.3,,23622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-07-01,5.1,,23467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.0,,,,,,,,,,,,,,,,,,,,CROW WING
1991-08-01,4.7,,23208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-09-01,5.0,,22898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROW WING
1991-10-01,5.1,,22302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,,,,,,CROW WING
