DATE,MNDAKO5URN,NETMIGNACS027037,PUA0T17MN27037A647NCEN,PUAAMN27037A647NCEN,MHICIUBMN27037A052NCEN,CBR27037MNA647NCEN,B01002001E027037,MHIMN27037A052NCEN,MNDAKO5POP,PI27037,PCPI27037,ATNHPIUS27037A,MNDAKO5LFN,BPPRIV027037,EQFXSUBPRIME027037,PEAAMN27037A647NCEN,HOWNRATEACS027037,RACEDISPARITY027037,FBITC027037,B03002004E027037,PPU18MN27037A156NCEN,PE5T17MN27037A647NCEN,PUA5T17RMN27037A647NCEN,USPTOISSUED027037,B03002003E027037,B03002005E027037,MHICILBMN27037A052NCEN,S1701ACS027037,MWACL27037,HC01ESTVC1727037,HC01ESTVC1627037,ENU2703720510,2020RATIO027037,B03002006E027037,DP04ACS027037,B03002012E027037,CDC20N2U027037,CDC20N2UAA027037,B080ACS027037,B14005DCYACS027037,PPAAMN27037A156NCEN,PECILBAAMN27037A647NCEN,PECIUBAAMN27037A647NCEN,PPCILBAAMN27037A156NCEN,S1101SPHOUSE027037,PPCIUBAAMN27037A156NCEN,DMPCRATE027037,S1501ACSTOTAL027037,PEU18MN27037A647NCEN,PECILBU18MN27037A647NCEN,PECIUBU18MN27037A647NCEN,PPCILBU18MN27037A156NCEN,PP5T17MN27037A156NCEN,PECILB5T17MN27037A647NCEN,PECIUB5T17MN27037A647NCEN,PPCILB5T17MN27037A156NCEN,PPCIUB5T17MN27037A156NCEN,PPCIUBU18MN27037A156NCEN,county
1991-01-01,4.3,,,,,,,,286.916,6485734.0,22605.0,65.1,168051,2721.0,,,,,,,,,,2.0,,,,,,,,5970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-02-01,4.7,,,,,,,,,,,,169420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-03-01,4.9,,,,,,,,,,,,170700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-04-01,4.1,,,,,,,,,,,,170277,,,,,,,,,,,,,,,,,,,6013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-05-01,3.8,,,,,,,,,,,,170016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-06-01,4.5,,,,,,,,,,,,172470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-07-01,4.1,,,,,,,,,,,,173887,,,,,,,,,,,,,,,,,,,6079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-08-01,3.9,,,,,,,,,,,,172856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-09-01,4.2,,,,,,,,,,,,171003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-10-01,4.1,,,,,,,,,,,,171917,,,,,,,,,,,,,,,,,,,6149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-11-01,3.8,,,,,,,,,,,,172328,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1991-12-01,3.9,,,,,,,,,,,,171549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-01-01,4.5,,,,,,,,296.694,7114858.0,23980.0,66.41,173917,3258.0,,,,,,,,,,,,,,,,,,6236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-02-01,4.5,,,,,,,,,,,,174861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-03-01,4.1,,,,,,,,,,,,175696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-04-01,3.7,,,,,,,,,,,,175342,,,,,,,,,,,,,,,,,,,6309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-05-01,3.7,,,,,,,,,,,,175927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-06-01,4.3,,,,,,,,,,,,177747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-07-01,4.1,,,,,,,,,,,,180654,,,,,,,,,,,,,,,,,,,6395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-08-01,4.2,,,,,,,,,,,,180476,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-09-01,4.2,,,,,,,,,,,,178036,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-10-01,3.7,,,,,,,,,,,,178401,,,,,,,,,,,3.0,,,,,,,,6491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-11-01,3.7,,,,,,,,,,,,179129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
1992-12-01,3.7,,,,,,,,,,,,179036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAKOTA
