DATE,MNDODG9URN,S1701ACS027039,MHIMN27039A052NCEN,MNDODG9POP,PCPI27039,RACEDISPARITY027039,CBR27039MNA647NCEN,CDC20N2U027039,S1101SPHOUSE027039,PPU18MN27039A156NCEN,NETMIGNACS027039,PUAAMN27039A647NCEN,B03002005E027039,PUA0T17MN27039A647NCEN,PUA5T17RMN27039A647NCEN,MHICILBMN27039A052NCEN,MHICIUBMN27039A052NCEN,B01002001E027039,2020RATIO027039,EQFXSUBPRIME027039,B03002003E027039,PI27039,USPTOISSUED027039,MNDODG9LFN,ENU2703920510,ATNHPIUS27039A,BPPRIV027039,B03002012E027039,PEAAMN27039A647NCEN,PPAAMN27039A156NCEN,PECILBAAMN27039A647NCEN,PECIUBAAMN27039A647NCEN,PPCILBAAMN27039A156NCEN,B03002006E027039,FBITC027039,DP04ACS027039,PPCIUBAAMN27039A156NCEN,B14005DCYACS027039,B03002004E027039,HC01ESTVC1727039,HC01ESTVC1627039,HOWNRATEACS027039,DMPCRATE027039,CDC20N2UAA027039,B080ACS027039,S1501ACSTOTAL027039,PEU18MN27039A647NCEN,PECILBU18MN27039A647NCEN,PECIUBU18MN27039A647NCEN,PPCILBU18MN27039A156NCEN,PE5T17MN27039A647NCEN,PP5T17MN27039A156NCEN,PECILB5T17MN27039A647NCEN,PECIUB5T17MN27039A647NCEN,PPCILB5T17MN27039A156NCEN,PPCIUBU18MN27039A156NCEN,PPCIUB5T17MN27039A156NCEN,county
1991-01-01,8.9,,,15.998,16940.0,,,,,,,,,,,,,,,,,271005.0,,8096.0,317.0,64.17,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-02-01,9.1,,,,,,,,,,,,,,,,,,,,,,,8013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-03-01,8.9,,,,,,,,,,,,,,,,,,,,,,,8036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-04-01,6.6,,,,,,,,,,,,,,,,,,,,,,,8249.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-05-01,5.0,,,,,,,,,,,,,,,,,,,,,,,8102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-06-01,5.3,,,,,,,,,,,,,,,,,,,,,,,8142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-07-01,4.5,,,,,,,,,,,,,,,,,,,,,,,7819.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-08-01,4.5,,,,,,,,,,,,,,,,,,,,,,,7703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-09-01,5.5,,,,,,,,,,,,,,,,,,,,,,,7986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-10-01,4.5,,,,,,,,,,,,,,,,,,,,,,,8124.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-11-01,4.4,,,,,,,,,,,,,,,,,,,,,,,8008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1991-12-01,6.0,,,,,,,,,,,,,,,,,,,,,,,8004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-01-01,8.3,,,16.206,17515.0,,,,,,,,,,,,,,,,,283848.0,,8345.0,309.0,66.37,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-02-01,8.3,,,,,,,,,,,,,,,,,,,,,,,8220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-03-01,8.0,,,,,,,,,,,,,,,,,,,,,,,8418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-04-01,5.8,,,,,,,,,,,,,,,,,,,,,,,8500.0,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-05-01,4.7,,,,,,,,,,,,,,,,,,,,,,,8678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-06-01,5.9,,,,,,,,,,,,,,,,,,,,,,,8685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-07-01,4.8,,,,,,,,,,,,,,,,,,,,,,,7871.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-08-01,4.7,,,,,,,,,,,,,,,,,,,,,,,8009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-09-01,4.9,,,,,,,,,,,,,,,,,,,,,,,8613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-10-01,3.9,,,,,,,,,,,,,,,,,,,,,,,8297.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-11-01,4.7,,,,,,,,,,,,,,,,,,,,,,,8386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1992-12-01,6.4,,,,,,,,,,,,,,,,,,,,,,,8336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-01-01,8.9,,35510.0,16.435,17052.0,,1006.0,,,10.2,,,,,,33231.0,37777.0,,,,,280256.0,,8314.0,318.0,69.27,83.0,,1480.0,8.8,1167.0,1793.0,7.0,,,,10.7,,,,,,,,,,548.0,423.0,673.0,7.9,352.0,8.8,264.0,440.0,6.6,12.6,11.1,DODGE
1993-02-01,8.9,,,,,,,,,,,,,,,,,,,,,,,8213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-03-01,8.6,,,,,,,,,,,,,,,,,,,,,,,8432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-04-01,7.0,,,,,,,,,,,,,,,,,,,,,,,8670.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-05-01,6.0,,,,,,,,,,,,,,,,,,,,,,,9023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-06-01,6.5,,,,,,,,,,,,,,,,,,,,,,,9244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-07-01,5.1,,,,,,,,,,,,,,,,,,,,,,,8483.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-08-01,4.6,,,,,,,,,,,,,,,,,,,,,,,8304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-09-01,4.7,,,,,,,,,,,,,,,,,,,,,,,8622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-10-01,5.0,,,,,,,,,,,,,,,,,,,,,,,8913.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-11-01,5.3,,,,,,,,,,,,,,,,,,,,,,,8801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1993-12-01,6.1,,,,,,,,,,,,,,,,,,,,,,,8756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-01-01,9.3,,,16.541,19295.0,,,,,,,,,,,,,,,,,319161.0,,8928.0,321.0,70.35,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-02-01,8.0,,,,,,,,,,,,,,,,,,,,,,,8988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-03-01,8.0,,,,,,,,,,,,,,,,,,,,,,,9064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-04-01,6.6,,,,,,,,,,,,,,,,,,,,,,,9295.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-05-01,4.8,,,,,,,,,,,,,,,,,,,,,,,9357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-06-01,5.0,,,,,,,,,,,,,,,,,,,,,,,9225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-07-01,5.1,,,,,,,,,,,,,,,,,,,,,,,8295.0,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-08-01,4.9,,,,,,,,,,,,,,,,,,,,,,,8459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-09-01,4.7,,,,,,,,,,,,,,,,,,,,,,,9075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-10-01,4.4,,,,,,,,,,,,,,,,,,,,,,,9140.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-11-01,4.4,,,,,,,,,,,,,,,,,,,,,,,9182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1994-12-01,5.6,,,,,,,,,,,,,,,,,,,,,,,8945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-01-01,8.1,,38669.0,16.679000000000002,19208.0,,880.0,,,7.9,,,,,,35544.0,41777.0,,,,,320364.0,,9180.0,319.0,74.77,68.0,,1172.0,6.9,926.0,1418.0,5.5,,,,8.4,,,,,,,,,,423.0,328.0,519.0,6.1,280.0,7.0,216.0,344.0,5.4,9.7,8.6,DODGE
1995-02-01,7.4,,,,,,,,,,,,,,,,,,,,,,,9221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-03-01,7.1,,,,,,,,,,,,,,,,,,,,,,,9216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-04-01,6.3,,,,,,,,,,,,,,,,,,,,,,,9487.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-05-01,4.6,,,,,,,,,,,,,,,,,,,,,,,9392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-06-01,4.7,,,,,,,,,,,,,,,,,,,,,,,9588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-07-01,4.5,,,,,,,,,,,,,,,,,,,,,,,8742.0,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-08-01,4.4,,,,,,,,,,,,,,,,,,,,,,,8618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-09-01,4.8,,,,,,,,,,,,,,,,,,,,,,,8620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-10-01,4.1,,,,,,,,,,,,,,,,,,,,,,,8834.0,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-11-01,3.9,,,,,,,,,,,,,,,,,,,,,,,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
1995-12-01,5.3,,,,,,,,,,,,,,,,,,,,,,,8720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DODGE
