DATE,MNDOUG1URN,MNDOUG1POP,B01002001E027041,B03002003E027041,BPPRIV027041,PCPI27041,PUAAMN27041A647NCEN,MHIMN27041A052NCEN,MHICILBMN27041A052NCEN,HC01ESTVC1727041,PUA5T17RMN27041A647NCEN,PEAAMN27041A647NCEN,RACEDISPARITY027041,CBR27041MNA647NCEN,NETMIGNACS055031,2020RATIO055031,WIDOUG1URN,MHIWI55031A052NCEN,WIDOUG1POP,PCPI55031,FBITC055031,RACEDISPARITY055031,HOWNRATEACS055031,WIDOUG1LFN,BPPRIV055031,B14005DCYACS055031,CBR55031WIA647NCEN,HC01ESTVC1755031,PI27041,2020RATIO027041,B14005DCYACS027041,DP04ACS027041,MNDOUG1LFN,CDC20N2U027041,USPTOISSUED027041,B080ACS027041,CDC20N2UAA027041,ATNHPIUS27041A,EQFXSUBPRIME027041,S1701ACS027041,HC01ESTVC1627041,B03002006E027041,B03002012E027041,ENU2704120510,MHICIUBMN27041A052NCEN,B03002005E027041,PUA0T17MN27041A647NCEN,HOWNRATEACS027041,NETMIGNACS027041,S1101SPHOUSE027041,PPAAMN27041A156NCEN,PECILBAAMN27041A647NCEN,PECIUBAAMN27041A647NCEN,PPCILBAAMN27041A156NCEN,DMPCRATE027041,PPCIUBAAMN27041A156NCEN,FBITC027041,S1501ACSTOTAL027041,PE5T17MN27041A647NCEN,PP5T17MN27041A156NCEN,PECILB5T17MN27041A647NCEN,PECIUB5T17MN27041A647NCEN,PPCILB5T17MN27041A156NCEN,PEU18MN27041A647NCEN,PPU18MN27041A156NCEN,B03002004E027041,PECILBU18MN27041A647NCEN,PECIUBU18MN27041A647NCEN,PPCILBU18MN27041A156NCEN,PPCIUB5T17MN27041A156NCEN,PPCIUBU18MN27041A156NCEN,PUAAWI55031A647NCEN,USPTOISSUED055031,B03002005E055031,PUA0T17WI55031A647NCEN,EQFXSUBPRIME055031,PUA5T17RWI55031A647NCEN,B03002003E055031,B03002006E055031,MHICILBWI55031A052NCEN,MHICIUBWI55031A052NCEN,DP04ACS055031,B01002001E055031,B03002012E055031,PI55031,CDC20N2U055031,PEAAWI55031A647NCEN,S1701ACS055031,PPAAWI55031A156NCEN,PECILBAAWI55031A647NCEN,PECIUBAAWI55031A647NCEN,PPCILBAAWI55031A156NCEN,DMPCRATE055031,S1101SPHOUSE055031,CDC20N2UAA055031,PPCIUBAAWI55031A156NCEN,ENU5503120510,B080ACS055031,ATNHPIUS55031A,B03002004E055031,HC01ESTVC1655031,S1501ACSTOTAL055031,SMU27000003132100001SA,MNWPMANRGSP,MNWPMANNGSP,MNWPMANQGSP,PE5T17WI55031A647NCEN,PP5T17WI55031A156NCEN,PECILB5T17WI55031A647NCEN,PECIUB5T17WI55031A647NCEN,PPCILB5T17WI55031A156NCEN,PPCIUB5T17WI55031A156NCEN,PEU18WI55031A647NCEN,PPU18WI55031A156NCEN,PECILBU18WI55031A647NCEN,PECIUBU18WI55031A647NCEN,PPCILBU18WI55031A156NCEN,PPCIUBU18WI55031A156NCEN,county
1991-01-01,7.8,29.193,,,175.0,15211.0,,,,,,,,,,,9.0,,42.132,15607.0,,,,19786,126.0,,,,444041.0,,,,13903,,,,,58.19,,,,,,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657566.0,,,,,,,,,,,,992.0,,60.71,,,,12.5,,,,,,,,,,,,,,,,DOUGLAS
1991-02-01,7.5,,,,,,,,,,,,,,,,10.0,,,,,,,19916,,,,,,,,,13992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,DOUGLAS
1991-03-01,7.8,,,,,,,,,,,,,,,,9.6,,,,,,,19817,,,,,,,,,14298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,DOUGLAS
1991-04-01,6.3,,,,,,,,,,,,,,,,8.1,,,,,,,19766,,,,,,,,,14634,,,,,,,,,,,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,,,,,,12.8,,,,,,,,,,,,,,,,DOUGLAS
1991-05-01,4.9,,,,,,,,,,,,,,,,7.9,,,,,,,19965,,,,,,,,,14801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,DOUGLAS
1991-06-01,5.0,,,,,,,,,,,,,,,,7.6,,,,,,,20438,,,,,,,,,14999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,DOUGLAS
1991-07-01,4.3,,,,,,,,,,,,,,,,6.0,,,,,,,20500,,,,,,,,,14377,,,,,,,,,,,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.0,,,,,,13.0,,,,,,,,,,,,,,,,DOUGLAS
1991-08-01,3.6,,,,,,,,,,,,,,,,5.5,,,,,,,20381,,,,,,,,,14534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,DOUGLAS
1991-09-01,3.9,,,,,,,,,,,,,,,,4.9,,,,,,,20248,,,,,,,,,14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,DOUGLAS
1991-10-01,3.8,,,,,,,,,,,,,,,,4.9,,,,,,,19933,,,,,,,,,14505,,,,,,,,,,,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.0,,,,,,12.6,,,,,,,,,,,,,,,,DOUGLAS
1991-11-01,4.8,,,,,,,,,,,,,,,,6.1,,,,,,,20141,,,,,,,,,14606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,DOUGLAS
1991-12-01,5.9,,,,,,,,,,,,,,,,6.3,,,,,,,20081,,,,,,,,,14501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,DOUGLAS
1992-01-01,7.5,29.539,,,209.0,16177.0,,,,,,,,,,,8.7,,42.56,16540.0,,,,20687,168.0,,,,477859.0,,,,14294,,,,,59.87,,,,,,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703934.0,,,,,,,,,,,,1005.0,,62.78,,,,12.7,,,,,,,,,,,,,,,,DOUGLAS
1992-02-01,7.7,,,,,,,,,,,,,,,,9.5,,,,,,,20768,,,,,,,,,14230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,DOUGLAS
1992-03-01,7.7,,,,,,,,,,,,,,,,9.4,,,,,,,20805,,,,,,,,,14346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,DOUGLAS
1992-04-01,6.3,,,,,,,,,,,,,,,,8.3,,,,,,,20777,,,,,,,,,14639,,,,,,,,,,,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,,,,,,13.1,,,,,,,,,,,,,,,,DOUGLAS
1992-05-01,5.2,,,,,,,,,,,,,,,,8.1,,,,,,,20926,,,,,,,,,14881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,DOUGLAS
1992-06-01,5.4,,,,,,,,,,,,,,,,8.7,,,,,,,21564,,,,,,,,,15235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,DOUGLAS
1992-07-01,4.7,,,,,,,,,,,,,,,,7.2,,,,,,,21614,,,,,,,,,14664,,,,,,,,,,,882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.0,,,,,,13.0,,,,,,,,,,,,,,,,DOUGLAS
1992-08-01,4.6,,,,,,,,,,,,,,,,7.3,,,,,,,21065,,,,,,,,,14802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,,,,,,,,,DOUGLAS
1992-09-01,4.9,,,,,,,,,,,,,,,,7.4,,,,,,,21108,,,,,,,,,14960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,DOUGLAS
1992-10-01,4.6,,,,,,,,,,,,,,,,5.9,,,,,,,20572,,,,,,,,,14566,,,,,,,,,,,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,,,,,,13.4,,,,,,,,,,,,,,,,DOUGLAS
1992-11-01,5.7,,,,,,,,,,,,,,,,6.7,,,,,,,20606,,,,,,,,,14795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,DOUGLAS
1992-12-01,6.4,,,,,,,,,,,,,,,,6.3,,,,,,,20508,,,,,,,,,14447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,DOUGLAS
