DATE,MNFARI3URN,MNFARI3POP,B01002001E027043,PUAAMN27043A647NCEN,S1701ACS027043,B03002012E027043,ATNHPIUS27043A,PCPI27043,MHIMN27043A052NCEN,DP04ACS027043,PPAAMN27043A156NCEN,RACEDISPARITY027043,PI27043,2020RATIO027043,B14005DCYACS027043,MNFARI3LFN,CDC20N2U027043,USPTOISSUED027043,B080ACS027043,CDC20N2UAA027043,EQFXSUBPRIME027043,HC01ESTVC1727043,HC01ESTVC1627043,B03002003E027043,B03002006E027043,ENU2704320510,BPPRIV027043,MHICILBMN27043A052NCEN,MHICIUBMN27043A052NCEN,B03002005E027043,PUA0T17MN27043A647NCEN,PUA5T17RMN27043A647NCEN,HOWNRATEACS027043,NETMIGNACS027043,S1101SPHOUSE027043,PEAAMN27043A647NCEN,PECILBAAMN27043A647NCEN,PECIUBAAMN27043A647NCEN,PPCILBAAMN27043A156NCEN,DMPCRATE027043,PPCIUBAAMN27043A156NCEN,FBITC027043,S1501ACSTOTAL027043,PE5T17MN27043A647NCEN,PP5T17MN27043A156NCEN,PECILB5T17MN27043A647NCEN,PECIUB5T17MN27043A647NCEN,PPCILB5T17MN27043A156NCEN,CBR27043MNA647NCEN,PEU18MN27043A647NCEN,PPU18MN27043A156NCEN,B03002004E027043,PECILBU18MN27043A647NCEN,PECIUBU18MN27043A647NCEN,PPCILBU18MN27043A156NCEN,PPCIUB5T17MN27043A156NCEN,PPCIUBU18MN27043A156NCEN,county
1991-01-01,8.2,16.666,,,,,,15812.0,,,,,263522.0,,,8132,,,,,,,,,,447.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-02-01,8.4,,,,,,,,,,,,,,,7970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-03-01,8.3,,,,,,,,,,,,,,,7980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-04-01,6.6,,,,,,,,,,,,,,,8039,,,,,,,,,,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-05-01,5.4,,,,,,,,,,,,,,,8084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-06-01,5.8,,,,,,,,,,,,,,,8695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-07-01,5.0,,,,,,,,,,,,,,,8396,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-08-01,4.5,,,,,,,,,,,,,,,8399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-09-01,5.0,,,,,,,,,,,,,,,8503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-10-01,4.4,,,,,,,,,,,,,,,8404,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-11-01,6.1,,,,,,,,,,,,,,,7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1991-12-01,7.3,,,,,,,,,,,,,,,7790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-01-01,8.3,16.64,,,,,69.12,17269.0,,,,,287361.0,,,7822,,,,,,,,,,442.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-02-01,8.7,,,,,,,,,,,,,,,7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-03-01,9.1,,,,,,,,,,,,,,,7767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-04-01,6.0,,,,,,,,,,,,,,,7881,,,,,,,,,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-05-01,4.7,,,,,,,,,,,,,,,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-06-01,5.3,,,,,,,,,,,,,,,8685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-07-01,4.5,,,,,,,,,,,,,,,8233,,,,,,,,,,452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-08-01,4.1,,,,,,,,,,,,,,,8594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-09-01,4.1,,,,,,,,,,,,,,,8629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-10-01,4.0,,,,,,,,,,,,,,,8255,,,,,,,,,,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
1992-11-01,4.6,,,,,,,,,,,,,,,7940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARIBAULT
