DATE,MNFILL5URN,MHIMN27045A052NCEN,PCPI27045,MNFILL5POP,S1701ACS027045,DP04ACS027045,B03002003E027045,EQFXSUBPRIME027045,HOWNRATEACS027045,NETMIGNACS027045,FBITC027045,RACEDISPARITY027045,CBR27045MNA647NCEN,PI27045,2020RATIO027045,B14005DCYACS027045,MNFILL5LFN,CDC20N2U027045,USPTOISSUED027045,PUAAMN27045A647NCEN,B01002001E027045,B080ACS027045,CDC20N2UAA027045,ATNHPIUS27045A,HC01ESTVC1727045,HC01ESTVC1627045,B03002006E027045,B03002012E027045,ENU2704520510,BPPRIV027045,MHICILBMN27045A052NCEN,MHICIUBMN27045A052NCEN,B03002005E027045,PUA0T17MN27045A647NCEN,PUA5T17RMN27045A647NCEN,S1101SPHOUSE027045,PEAAMN27045A647NCEN,PPAAMN27045A156NCEN,PECILBAAMN27045A647NCEN,PECIUBAAMN27045A647NCEN,PPCILBAAMN27045A156NCEN,DMPCRATE027045,PPCIUBAAMN27045A156NCEN,S1501ACSTOTAL027045,PE5T17MN27045A647NCEN,PP5T17MN27045A156NCEN,PECILB5T17MN27045A647NCEN,PECIUB5T17MN27045A647NCEN,PPCILB5T17MN27045A156NCEN,PEU18MN27045A647NCEN,PPU18MN27045A156NCEN,B03002004E027045,PECILBU18MN27045A647NCEN,PECIUBU18MN27045A647NCEN,PPCILBU18MN27045A156NCEN,PPCIUB5T17MN27045A156NCEN,PPCIUBU18MN27045A156NCEN,county
1991-01-01,6.8,,16085.0,20.651,,,,,,,,,,332174.0,,,10279,,,,,,,,,,,,496.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-02-01,7.7,,,,,,,,,,,,,,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-03-01,8.1,,,,,,,,,,,,,,,,10207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-04-01,6.5,,,,,,,,,,,,,,,,10210,,,,,,,,,,,,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-05-01,5.1,,,,,,,,,,,,,,,,10273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-06-01,5.2,,,,,,,,,,,,,,,,10478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-07-01,4.8,,,,,,,,,,,,,,,,10035,,,,,,,,,,,,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-08-01,4.2,,,,,,,,,,,,,,,,9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-09-01,3.8,,,,,,,,,,,,,,,,9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
1991-10-01,3.4,,,,,,,,,,,,,,,,10220,,,,,,,,,,,,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLMORE
