DATE,MNGRAN1URN,SMU27000008081300001,MNGRAN1POP,PUA0T17MN27051A647NCEN,RACEDISPARITY027051,SMU27334608081300001SA,PI27051,2020RATIO027051,B14005DCYACS027051,DP04ACS027051,MNGRAN1LFN,CDC20N2U027051,USPTOISSUED027051,PCPI27051,PUAAMN27051A647NCEN,B01002001E027051,B080ACS027051,CDC20N2UAA027051,EQFXSUBPRIME027051,MHIMN27051A052NCEN,HC01ESTVC1727051,S1701ACS027051,HC01ESTVC1627051,ENU2705120510,BPPRIV027051,MHICILBMN27051A052NCEN,MHICIUBMN27051A052NCEN,PUA5T17RMN27051A647NCEN,HOWNRATEACS027051,NETMIGNACS027051,B03002012E027051,S1101SPHOUSE027051,PEAAMN27051A647NCEN,PPAAMN27051A156NCEN,PECILBAAMN27051A647NCEN,PECIUBAAMN27051A647NCEN,PPCILBAAMN27051A156NCEN,DMPCRATE027051,PPCIUBAAMN27051A156NCEN,FBITC027051,S1501ACSTOTAL027051,B03002003E027051,B03002006E027051,B03002005E027051,PE5T17MN27051A647NCEN,PP5T17MN27051A156NCEN,PECILB5T17MN27051A647NCEN,PECIUB5T17MN27051A647NCEN,PPCILB5T17MN27051A156NCEN,CBR27051MNA647NCEN,PEU18MN27051A647NCEN,PPU18MN27051A156NCEN,B03002004E027051,PECILBU18MN27051A647NCEN,PECIUBU18MN27051A647NCEN,PPCILBU18MN27051A156NCEN,PPCIUB5T17MN27051A156NCEN,PPCIUBU18MN27051A156NCEN,county
1991-01-01,9.7,53.6,6.256,,,31.3,97606.0,,,,2901,,,15602.0,,,,,,,,,,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-02-01,9.0,53.6,,,,31.1,,,,,2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-03-01,9.8,54.2,,,,31.0,,,,,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-04-01,7.5,54.0,,,,30.9,,,,,2892,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-05-01,4.6,54.2,,,,30.7,,,,,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-06-01,4.3,55.5,,,,31.1,,,,,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-07-01,4.5,55.0,,,,30.3,,,,,2807,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-08-01,4.5,54.9,,,,30.2,,,,,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-09-01,4.9,54.4,,,,30.1,,,,,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-10-01,3.7,54.5,,,,30.4,,,,,2794,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-11-01,7.3,54.3,,,,30.0,,,,,2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1991-12-01,7.9,55.2,,,,30.5,,,,,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-01-01,9.6,54.3,6.197,,,30.4,109752.0,,,,2757,,,17711.0,,,,,,,,,,198.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-02-01,9.3,54.4,,,,30.1,,,,,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-03-01,9.9,55.0,,,,30.3,,,,,2730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-04-01,7.6,55.0,,,,30.2,,,,,2844,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-05-01,5.5,55.3,,,,30.5,,,,,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-06-01,5.6,56.3,,,,30.4,,,,,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-07-01,5.3,56.1,,,,30.8,,,,,2791,,,,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-08-01,4.7,56.1,,,,30.9,,,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-09-01,5.2,56.1,,,,31.0,,,,,2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-10-01,4.0,56.3,,,,30.8,,,,,2835,,,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-11-01,5.8,56.4,,,,31.1,,,,,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1992-12-01,7.2,56.9,,,,29.7,,,,,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1993-01-01,9.1,56.2,6.17,,,31.2,96165.0,,,,2957,,,15586.0,,,,,,25204.0,,,,204.0,3.0,22794.0,27600.0,,,,,,822.0,13.4,648.0,995.0,10.6,,16.3,,,,,,184.0,14.8,138.0,230.0,11.1,475.0,260.0,16.1,,201.0,319.0,12.4,18.5,19.7,GRANT
1993-02-01,9.5,56.5,,,,31.3,,,,,2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1993-03-01,9.8,56.9,,,,30.9,,,,,2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1993-04-01,7.1,57.5,,,,31.8,,,,,2992,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1993-05-01,4.6,57.5,,,,31.7,,,,,3039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
1993-06-01,5.6,58.5,,,,31.8,,,,,3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANT
