DATE,NETMIGNACS027059,PUA0T17MN27059A647NCEN,MNISAN9URN,CBR27059MNA647NCEN,S1701ACS027059,MNISAN9POP,MHIMN27059A052NCEN,PI27059,PCPI27059,MNISAN9LFN,2020RATIO027059,B14005DCYACS027059,PEAAMN27059A647NCEN,HOWNRATEACS027059,RACEDISPARITY027059,PEU18MN27059A647NCEN,PUAAMN27059A647NCEN,PUA5T17RMN27059A647NCEN,MHICILBMN27059A052NCEN,MHICIUBMN27059A052NCEN,ATNHPIUS27059A,HC01ESTVC1727059,HC01ESTVC1627059,ENU2705920510,BPPRIV027059,USPTOISSUED027059,EQFXSUBPRIME027059,DP04ACS027059,B01002001E027059,B03002012E027059,CDC20N2U027059,CDC20N2UAA027059,B080ACS027059,PPAAMN27059A156NCEN,PECILBAAMN27059A647NCEN,PECIUBAAMN27059A647NCEN,PPCILBAAMN27059A156NCEN,S1101SPHOUSE027059,PPCIUBAAMN27059A156NCEN,DMPCRATE027059,S1501ACSTOTAL027059,FBITC027059,B03002004E027059,B03002003E027059,B03002006E027059,B03002005E027059,PPU18MN27059A156NCEN,PECILBU18MN27059A647NCEN,PECIUBU18MN27059A647NCEN,PPCILBU18MN27059A156NCEN,PE5T17MN27059A647NCEN,PP5T17MN27059A156NCEN,PECILB5T17MN27059A647NCEN,PECIUB5T17MN27059A647NCEN,PPCILB5T17MN27059A156NCEN,PPCIUB5T17MN27059A156NCEN,PPCIUBU18MN27059A156NCEN,county
1991-01-01,,,8.7,,,26.366,,427263.0,16205.0,13475,,,,,,,,,,,60.4,,,471.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-02-01,,,8.7,,,,,,,13503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-03-01,,,8.9,,,,,,,13618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-04-01,,,7.7,,,,,,,13511,,,,,,,,,,,,,,473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-05-01,,,6.7,,,,,,,13387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-06-01,,,6.7,,,,,,,13502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-07-01,,,5.6,,,,,,,13514,,,,,,,,,,,,,,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-08-01,,,5.3,,,,,,,13399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-09-01,,,6.4,,,,,,,13373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
1991-10-01,,,5.9,,,,,,,13391,,,,,,,,,,,,,,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISANTI
