DATE,MNITAS1URN,CBR27061MNA647NCEN,MHICIUBMN27061A052NCEN,PUAAMN27061A647NCEN,MNITAS1POP,MHIMN27061A052NCEN,S1701ACS027061,MNITAS1LFN,PI27061,B01002001E027061,ATNHPIUS27061A,2020RATIO027061,B080ACS027061,PCPI27061,PUA0T17MN27061A647NCEN,PUA5T17RMN27061A647NCEN,NETMIGNACS027061,S1101SPHOUSE027061,HOWNRATEACS027061,PECIUBAAMN27061A647NCEN,PEAAMN27061A647NCEN,RACEDISPARITY027061,PE5T17MN27061A647NCEN,PEU18MN27061A647NCEN,B14005DCYACS027061,DP04ACS027061,CDC20N2U027061,USPTOISSUED027061,CDC20N2UAA027061,EQFXSUBPRIME027061,HC01ESTVC1727061,HC01ESTVC1627061,B03002003E027061,B03002006E027061,B03002012E027061,ENU2706120510,BPPRIV027061,MHICILBMN27061A052NCEN,B03002005E027061,PPAAMN27061A156NCEN,PECILBAAMN27061A647NCEN,PPCILBAAMN27061A156NCEN,DMPCRATE027061,PPCIUBAAMN27061A156NCEN,FBITC027061,S1501ACSTOTAL027061,PP5T17MN27061A156NCEN,PECILB5T17MN27061A647NCEN,PECIUB5T17MN27061A647NCEN,PPCILB5T17MN27061A156NCEN,PPU18MN27061A156NCEN,B03002004E027061,PECILBU18MN27061A647NCEN,PECIUBU18MN27061A647NCEN,PPCILBU18MN27061A156NCEN,PPCIUB5T17MN27061A156NCEN,PPCIUBU18MN27061A156NCEN,county
1991-01-01,11.6,,,,41.173,,,18179,625636.0,,65.84,,,15195.0,,,,,,,,,,,,,,3.0,,,,,,,,858.0,232.0,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-02-01,10.8,,,,,,,18439,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-03-01,10.5,,,,,,,18629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-04-01,11.0,,,,,,,18657,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.0,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-05-01,10.8,,,,,,,18793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-06-01,11.5,,,,,,,19246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-07-01,10.2,,,,,,,18280,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-08-01,9.1,,,,,,,18132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-09-01,9.0,,,,,,,18441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-10-01,8.1,,,,,,,18583,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-11-01,9.7,,,,,,,18640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1991-12-01,9.3,,,,,,,18306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-01-01,12.0,,,,41.536,,,18801,659514.0,,66.66,,,15878.0,,,,,,,,,,,,,,,,,,,,,,883.0,259.0,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-02-01,11.9,,,,,,,18707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-03-01,11.7,,,,,,,18784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-04-01,12.3,,,,,,,19041,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-05-01,15.0,,,,,,,20048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
1992-06-01,12.3,,,,,,,19562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITASCA
