DATE,MNJACK3URN,MNJACK3LFN,MHIMN27063A052NCEN,RACEDISPARITY027063,PI27063,2020RATIO027063,B14005DCYACS027063,DP04ACS027063,MNJACK3POP,CDC20N2U027063,PCPI27063,PUAAMN27063A647NCEN,B01002001E027063,B080ACS027063,CDC20N2UAA027063,ATNHPIUS27063A,EQFXSUBPRIME027063,HC01ESTVC1727063,S1701ACS027063,HC01ESTVC1627063,ENU2706320510,BPPRIV027063,MHICILBMN27063A052NCEN,MHICIUBMN27063A052NCEN,PUA0T17MN27063A647NCEN,PUA5T17RMN27063A647NCEN,HOWNRATEACS027063,NETMIGNACS027063,B03002012E027063,S1101SPHOUSE027063,PEAAMN27063A647NCEN,PPAAMN27063A156NCEN,PECILBAAMN27063A647NCEN,PECIUBAAMN27063A647NCEN,PPCILBAAMN27063A156NCEN,DMPCRATE027063,PPCIUBAAMN27063A156NCEN,FBITC027063,S1501ACSTOTAL027063,B03002003E027063,B03002006E027063,B03002005E027063,PE5T17MN27063A647NCEN,PP5T17MN27063A156NCEN,PECILB5T17MN27063A647NCEN,PECIUB5T17MN27063A647NCEN,PPCILB5T17MN27063A156NCEN,CBR27063MNA647NCEN,PEU18MN27063A647NCEN,PPU18MN27063A156NCEN,B03002004E027063,PECILBU18MN27063A647NCEN,PECIUBU18MN27063A647NCEN,PPCILBU18MN27063A156NCEN,PPCIUB5T17MN27063A156NCEN,PPCIUBU18MN27063A156NCEN,county
1991-01-01,5.7,5452,,,178111.0,,,,11.658,,15278.0,,,,,,,,,,252.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-02-01,5.9,5310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-03-01,6.5,5302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-04-01,5.4,5413,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-05-01,4.3,5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-06-01,5.0,5546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-07-01,4.3,5538,,,,,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-08-01,4.8,5618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-09-01,3.5,5424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-10-01,2.9,5524,,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-11-01,4.4,5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1991-12-01,5.0,5254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-01-01,6.4,5210,,,182064.0,,,,11.642000000000001,,15639.0,,,,,,,,,,255.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-02-01,5.5,5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-03-01,5.7,5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-04-01,4.6,5310,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-05-01,4.3,5481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-06-01,7.1,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-07-01,7.9,5554,,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-08-01,5.3,5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-09-01,3.8,5344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-10-01,3.1,5408,,,,,,,,,,,,,,,,,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-11-01,4.0,5377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1992-12-01,5.3,5204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
1993-01-01,6.3,5446,27769.0,,163376.0,,,,11.673,,13996.0,,,,,,,,,,264.0,20.0,25311.0,30214.0,,,,,,,1386.0,11.8,1091.0,1682.0,9.3,,14.3,,,,,,335.0,13.5,251.0,418.0,10.2,717.0,505.0,15.5,,391.0,620.0,12.0,16.9,19.1,JACKSON
1993-02-01,5.9,5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JACKSON
