DATE,MNKANA5URN,S1701ACS027065,2020RATIO027065,MNKANA5LFN,RACEDISPARITY027065,CBR27065MNA647NCEN,PI27065,B14005DCYACS027065,DP04ACS027065,MNKANA5POP,CDC20N2U027065,PCPI27065,PUAAMN27065A647NCEN,B01002001E027065,B080ACS027065,CDC20N2UAA027065,ATNHPIUS27065A,EQFXSUBPRIME027065,MHIMN27065A052NCEN,HC01ESTVC1727065,HC01ESTVC1627065,B03002003E027065,B03002006E027065,B03002012E027065,ENU2706520510,BPPRIV027065,MHICILBMN27065A052NCEN,MHICIUBMN27065A052NCEN,B03002005E027065,PUA0T17MN27065A647NCEN,PUA5T17RMN27065A647NCEN,HOWNRATEACS027065,NETMIGNACS027065,S1101SPHOUSE027065,PEAAMN27065A647NCEN,PPAAMN27065A156NCEN,PECILBAAMN27065A647NCEN,PECIUBAAMN27065A647NCEN,PPCILBAAMN27065A156NCEN,DMPCRATE027065,PPCIUBAAMN27065A156NCEN,FBITC027065,S1501ACSTOTAL027065,PE5T17MN27065A647NCEN,PP5T17MN27065A156NCEN,PECILB5T17MN27065A647NCEN,PECIUB5T17MN27065A647NCEN,PPCILB5T17MN27065A156NCEN,PEU18MN27065A647NCEN,PPU18MN27065A156NCEN,B03002004E027065,PECILBU18MN27065A647NCEN,PECIUBU18MN27065A647NCEN,PPCILBU18MN27065A156NCEN,PPCIUB5T17MN27065A156NCEN,PPCIUBU18MN27065A156NCEN,county
1991-01-01,12.9,,,6547,,,183658.0,,,12.862,,14279.0,,,,,,,,,,,,,226.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-02-01,13.3,,,6514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-03-01,14.1,,,6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-04-01,11.5,,,6651,,,,,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-05-01,10.2,,,6694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-06-01,9.7,,,6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-07-01,7.9,,,6860,,,,,,,,,,,,,,,,,,,,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-08-01,7.8,,,6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-09-01,7.8,,,6660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-10-01,7.1,,,6791,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-11-01,9.8,,,6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1991-12-01,11.0,,,6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-01-01,13.1,,,6671,,,197591.0,,,13.015999999999998,,15181.0,,,,,,,,,,,,,227.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-02-01,13.4,,,6743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-03-01,13.5,,,6795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-04-01,10.5,,,6734,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-05-01,9.2,,,6781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-06-01,9.5,,,6961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-07-01,8.8,,,6826,,,,,,,,,,,,,,,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-08-01,7.7,,,6838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-09-01,7.9,,,6798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-10-01,6.7,,,6658,,,,,,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-11-01,9.4,,,6762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
1992-12-01,11.0,,,6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANABEC
