DATE,MNKAND7URN,MNKAND7POP,B01002001E027067,B03002003E027067,MNKAND7LFN,MHIMN27067A052NCEN,ATNHPIUS27067A,ENU2706720510,PI27067,PCPI27067,PUA5T17RMN27067A647NCEN,PEAAMN27067A647NCEN,RACEDISPARITY027067,CBR27067MNA647NCEN,2020RATIO027067,B14005DCYACS027067,DP04ACS027067,CDC20N2U027067,USPTOISSUED027067,PUAAMN27067A647NCEN,B080ACS027067,CDC20N2UAA027067,EQFXSUBPRIME027067,HC01ESTVC1727067,S1701ACS027067,HC01ESTVC1627067,B03002006E027067,B03002012E027067,BPPRIV027067,MHICILBMN27067A052NCEN,MHICIUBMN27067A052NCEN,B03002005E027067,PUA0T17MN27067A647NCEN,HOWNRATEACS027067,NETMIGNACS027067,S1101SPHOUSE027067,PPAAMN27067A156NCEN,PECILBAAMN27067A647NCEN,PECIUBAAMN27067A647NCEN,PPCILBAAMN27067A156NCEN,DMPCRATE027067,PPCIUBAAMN27067A156NCEN,FBITC027067,S1501ACSTOTAL027067,PE5T17MN27067A647NCEN,PP5T17MN27067A156NCEN,PECILB5T17MN27067A647NCEN,PECIUB5T17MN27067A647NCEN,PPCILB5T17MN27067A156NCEN,PEU18MN27067A647NCEN,PPU18MN27067A156NCEN,B03002004E027067,PECILBU18MN27067A647NCEN,PECIUBU18MN27067A647NCEN,PPCILBU18MN27067A156NCEN,PPCIUB5T17MN27067A156NCEN,PPCIUBU18MN27067A156NCEN,county
1991-01-01,6.4,39.219,,,19222,,69.23,1016.0,649551.0,16562.0,,,,,,,,,,,,,,,,,,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-02-01,6.2,,,,19070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-03-01,7.1,,,,19185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-04-01,5.1,,,,19470,,,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-05-01,4.5,,,,19693,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-06-01,4.7,,,,19518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-07-01,4.2,,,,19777,,,1011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-08-01,4.3,,,,19464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-09-01,4.3,,,,19664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
1991-10-01,3.8,,,,19585,,,1021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANDIYOHI
