DATE,MNLACQ3URN,PCPI27073,B01002001E027073,MHIMN27073A052NCEN,CBR27073MNA647NCEN,MNLACQ3POP,BPPRIV027073,PI27073,MNLACQ3LFN,PPU18MN27073A156NCEN,PUA5T17RMN27073A647NCEN,RACEDISPARITY027073,MHICILBMN27073A052NCEN,2020RATIO027073,B14005DCYACS027073,DP04ACS027073,HOWNRATEACS027073,NETMIGNACS027073,CDC20N2U027073,PUA0T17MN27073A647NCEN,PUAAMN27073A647NCEN,B080ACS027073,CDC20N2UAA027073,EQFXSUBPRIME027073,PEU18MN27073A647NCEN,DMPCRATE027073,PEAAMN27073A647NCEN,HC01ESTVC1727073,S1701ACS027073,HC01ESTVC1627073,B03002003E027073,B03002006E027073,B03002012E027073,ENU2707320510,PPAAMN27073A156NCEN,PE5T17MN27073A647NCEN,B03002004E027073,FBITC027073,PP5T17MN27073A156NCEN,MHICIUBMN27073A052NCEN,B03002005E027073,PECILBU18MN27073A647NCEN,PECIUBU18MN27073A647NCEN,PECILBAAMN27073A647NCEN,PECIUBAAMN27073A647NCEN,S1101SPHOUSE027073,PPCILBU18MN27073A156NCEN,PPCIUBU18MN27073A156NCEN,PPCILBAAMN27073A156NCEN,PPCIUBAAMN27073A156NCEN,S1501ACSTOTAL027073,PECILB5T17MN27073A647NCEN,PECIUB5T17MN27073A647NCEN,PPCILB5T17MN27073A156NCEN,PPCIUB5T17MN27073A156NCEN,county
1991-01-01,5.6,15403.0,,,,8.788,11.0,135365.0,4000,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-02-01,5.2,,,,,,,,3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-03-01,5.3,,,,,,,,3947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-04-01,3.6,,,,,,,,3936,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-05-01,2.0,,,,,,,,3959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-06-01,3.3,,,,,,,,4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-07-01,2.9,,,,,,,,3954,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-08-01,2.5,,,,,,,,3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-09-01,2.6,,,,,,,,3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
1991-10-01,2.2,,,,,,,,3954,,,,,,,,,,,,,,,,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,LAC QUI PARLE
