DATE,PCPI27077,MNLAKE7URN,CBR27077MNA647NCEN,PI27077,NETMIGNACS027077,RACEDISPARITY027077,2020RATIO027077,B14005DCYACS027077,DP04ACS027077,HOWNRATEACS027077,MNLAKE7POP,MNLAKE7LFN,CDC20N2U027077,PUA0T17MN27077A647NCEN,PUAAMN27077A647NCEN,B01002001E027077,B080ACS027077,CDC20N2UAA027077,EQFXSUBPRIME027077,PUA5T17RMN27077A647NCEN,MHIMN27077A052NCEN,PEU18MN27077A647NCEN,DMPCRATE027077,PEAAMN27077A647NCEN,HC01ESTVC1727077,S1701ACS027077,HC01ESTVC1627077,PPU18MN27077A156NCEN,B03002003E027077,B03002006E027077,B03002012E027077,ENU2707720510,PPAAMN27077A156NCEN,PE5T17MN27077A647NCEN,BPPRIV027077,B03002004E027077,FBITC027077,PP5T17MN27077A156NCEN,MHICILBMN27077A052NCEN,MHICIUBMN27077A052NCEN,B03002005E027077,PECILBU18MN27077A647NCEN,PECIUBU18MN27077A647NCEN,PECILBAAMN27077A647NCEN,PECIUBAAMN27077A647NCEN,S1101SPHOUSE027077,PPCILBU18MN27077A156NCEN,PPCIUBU18MN27077A156NCEN,PPCILBAAMN27077A156NCEN,PPCIUBAAMN27077A156NCEN,S1501ACSTOTAL027077,PECILB5T17MN27077A647NCEN,PECIUB5T17MN27077A647NCEN,PPCILB5T17MN27077A156NCEN,PPCIUB5T17MN27077A156NCEN,county
1991-01-01,15047.0,4.3,,63753.0,,,,,,,4.237,2086,,,,,,,,,,,,,,,,,,,,128.0,,,2.0,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-02-01,,3.6,,,,,,,,,,2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-03-01,,3.2,,,,,,,,,,2053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-04-01,,4.2,,,,,,,,,,2146,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-05-01,,3.4,,,,,,,,,,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-06-01,,2.9,,,,,,,,,,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-07-01,,3.0,,,,,,,,,,2197,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-08-01,,2.1,,,,,,,,,,2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-09-01,,2.9,,,,,,,,,,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
1991-10-01,,4.4,,,,,,,,,,2204,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,LAKE OF THE WOODS
