DATE,MNLESU9URN,MNLESU9POP,B01002001E027079,B03002003E027079,PCPI27079,MHIMN27079A052NCEN,CBR27079MNA647NCEN,2020RATIO027079,MNLESU9LFN,NETMIGNACS027079,RACEDISPARITY027079,PI27079,B14005DCYACS027079,DP04ACS027079,HOWNRATEACS027079,CDC20N2U027079,PUA0T17MN27079A647NCEN,PUAAMN27079A647NCEN,B080ACS027079,CDC20N2UAA027079,ATNHPIUS27079A,EQFXSUBPRIME027079,PUA5T17RMN27079A647NCEN,PEU18MN27079A647NCEN,DMPCRATE027079,PEAAMN27079A647NCEN,HC01ESTVC1727079,S1701ACS027079,HC01ESTVC1627079,PPU18MN27079A156NCEN,B03002006E027079,B03002012E027079,ENU2707920510,PPAAMN27079A156NCEN,PE5T17MN27079A647NCEN,BPPRIV027079,B03002004E027079,FBITC027079,PP5T17MN27079A156NCEN,MHICILBMN27079A052NCEN,MHICIUBMN27079A052NCEN,B03002005E027079,PECILBU18MN27079A647NCEN,PECIUBU18MN27079A647NCEN,PECILBAAMN27079A647NCEN,PECIUBAAMN27079A647NCEN,S1101SPHOUSE027079,PPCILBU18MN27079A156NCEN,PPCIUBU18MN27079A156NCEN,PPCILBAAMN27079A156NCEN,PPCIUBAAMN27079A156NCEN,S1501ACSTOTAL027079,PECILB5T17MN27079A647NCEN,PECIUB5T17MN27079A647NCEN,PPCILB5T17MN27079A156NCEN,PPCIUB5T17MN27079A156NCEN,county
1991-01-01,8.7,23.348000000000003,,,16695.0,,,,12291,,,389788.0,,,,,,,,,59.42,,,,,,,,,,,,547.0,,,103.0,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-02-01,9.2,,,,,,,,12407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-03-01,9.0,,,,,,,,12384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-04-01,7.3,,,,,,,,12464,,,,,,,,,,,,,,,,,,,,,,,,551.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-05-01,6.0,,,,,,,,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-06-01,5.3,,,,,,,,12446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-07-01,4.4,,,,,,,,12181,,,,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-08-01,4.1,,,,,,,,12080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-09-01,4.8,,,,,,,,12159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-10-01,5.2,,,,,,,,12538,,,,,,,,,,,,,,,,,,,,,,,,565.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-11-01,7.1,,,,,,,,12535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1991-12-01,8.1,,,,,,,,12533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-01-01,9.0,23.526999999999997,,,17845.0,,,,12713,,,419828.0,,,,,,,,,62.83,,,,,,,,,,,,543.0,,,99.0,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-02-01,9.5,,,,,,,,12785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-03-01,9.7,,,,,,,,12960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-04-01,6.6,,,,,,,,12820,,,,,,,,,,,,,,,,,,,,,,,,543.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-05-01,5.4,,,,,,,,12691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-06-01,4.8,,,,,,,,12743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-07-01,3.8,,,,,,,,12407,,,,,,,,,,,,,,,,,,,,,,,,539.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-08-01,3.3,,,,,,,,12423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-09-01,3.6,,,,,,,,12459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-10-01,4.0,,,,,,,,12628,,,,,,,,,,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-11-01,6.3,,,,,,,,12767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1992-12-01,7.0,,,,,,,,12796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-01-01,8.9,23.8,,,18000.0,33447.0,1124.0,,12998,,,428401.0,,,,,,,,,63.72,,,767.0,,2126.0,,,,10.5,,,531.0,8.7,495.0,122.0,,,8.9,31175.0,35707.0,,595.0,938.0,1682.0,2571.0,,8.1,12.8,6.9,10.6,,373.0,616.0,6.7,11.1,LE SUEUR
1993-02-01,8.9,,,,,,,,13113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-03-01,8.2,,,,,,,,13144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-04-01,7.3,,,,,,,,13244,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-05-01,5.3,,,,,,,,13091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-06-01,5.8,,,,,,,,13102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
1993-07-01,3.7,,,,,,,,12659,,,,,,,,,,,,,,,,,,,,,,,,534.0,,,,,,,,,,,,,,,,,,,,,,,,LE SUEUR
