DATE,PCPI27081,MNLINC1URN,MNLINC1POP,DMPCRATE027081,RACEDISPARITY027081,PI27081,2020RATIO027081,B14005DCYACS027081,DP04ACS027081,MNLINC1LFN,CDC20N2U027081,USPTOISSUED027081,PUAAMN27081A647NCEN,B01002001E027081,B080ACS027081,CDC20N2UAA027081,ATNHPIUS27081A,EQFXSUBPRIME027081,MHIMN27081A052NCEN,HC01ESTVC1727081,S1701ACS027081,HC01ESTVC1627081,B03002012E027081,ENU2708120510,BPPRIV027081,MHICILBMN27081A052NCEN,MHICIUBMN27081A052NCEN,PUA0T17MN27081A647NCEN,PUA5T17RMN27081A647NCEN,HOWNRATEACS027081,NETMIGNACS027081,S1101SPHOUSE027081,PEAAMN27081A647NCEN,PPAAMN27081A156NCEN,PECILBAAMN27081A647NCEN,PECIUBAAMN27081A647NCEN,PPCILBAAMN27081A156NCEN,PPCIUBAAMN27081A156NCEN,FBITC027081,S1501ACSTOTAL027081,B03002005E027081,B03002003E027081,B03002006E027081,PE5T17MN27081A647NCEN,PP5T17MN27081A156NCEN,PECILB5T17MN27081A647NCEN,PECIUB5T17MN27081A647NCEN,PPCILB5T17MN27081A156NCEN,CBR27081MNA647NCEN,PEU18MN27081A647NCEN,PPU18MN27081A156NCEN,B03002004E027081,PECILBU18MN27081A647NCEN,PECIUBU18MN27081A647NCEN,PPCILBU18MN27081A156NCEN,PPCIUB5T17MN27081A156NCEN,PPCIUBU18MN27081A156NCEN,county
1991-01-01,15040.0,6.8,6.819,,,102560.0,,,,3142,,,,,,,,,,,,,,170.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-02-01,,6.2,,,,,,,,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-03-01,,5.8,,,,,,,,3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-04-01,,4.3,,,,,,,,3168,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-05-01,,3.3,,,,,,,,3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-06-01,,3.3,,,,,,,,3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-07-01,,3.0,,,,,,,,3219,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-08-01,,2.6,,,,,,,,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-09-01,,2.8,,,,,,,,3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-10-01,,2.2,,,,,,,,3216,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-11-01,,3.3,,,,,,,,3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1991-12-01,,4.7,,,,,,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-01-01,14972.0,6.7,6.9110000000000005,,,103474.0,,,,2987,,,,,,,,,,,,,,169.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-02-01,,5.9,,,,,,,,2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-03-01,,6.1,,,,,,,,2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-04-01,,4.5,,,,,,,,3034,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-05-01,,2.8,,,,,,,,3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-06-01,,3.8,,,,,,,,3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-07-01,,3.5,,,,,,,,3104,,,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-08-01,,3.2,,,,,,,,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
1992-09-01,,3.3,,,,,,,,3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN
