DATE,MNLYON3URN,MNLYON3POP,B01002001E027083,PCPI27083,B03002012E027083,PUAAMN27083A647NCEN,S1701ACS027083,MHICILBMN27083A052NCEN,S1101SPHOUSE027083,HOWNRATEACS027083,RACEDISPARITY027083,B03002003E027083,CBR27083MNA647NCEN,PPU18MN27083A156NCEN,PI27083,2020RATIO027083,B14005DCYACS027083,DP04ACS027083,MNLYON3LFN,CDC20N2U027083,USPTOISSUED027083,B080ACS027083,CDC20N2UAA027083,ATNHPIUS27083A,EQFXSUBPRIME027083,MHIMN27083A052NCEN,HC01ESTVC1727083,HC01ESTVC1627083,ENU2708320510,BPPRIV027083,MHICIUBMN27083A052NCEN,PUA0T17MN27083A647NCEN,PUA5T17RMN27083A647NCEN,NETMIGNACS027083,PEAAMN27083A647NCEN,PPAAMN27083A156NCEN,PECILBAAMN27083A647NCEN,PECIUBAAMN27083A647NCEN,PPCILBAAMN27083A156NCEN,DMPCRATE027083,PPCIUBAAMN27083A156NCEN,FBITC027083,S1501ACSTOTAL027083,B03002005E027083,B03002006E027083,PE5T17MN27083A647NCEN,PP5T17MN27083A156NCEN,PECILB5T17MN27083A647NCEN,PECIUB5T17MN27083A647NCEN,PPCILB5T17MN27083A156NCEN,PEU18MN27083A647NCEN,B03002004E027083,PECILBU18MN27083A647NCEN,PECIUBU18MN27083A647NCEN,PPCILBU18MN27083A156NCEN,PPCIUB5T17MN27083A156NCEN,PPCIUBU18MN27083A156NCEN,county
1991-01-01,5.3,24.804000000000002,,17097.0,,,,,,,,,,,424078.0,,,,13275,,,,,64.45,,,,,677.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-02-01,5.6,,,,,,,,,,,,,,,,,,13369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-03-01,5.5,,,,,,,,,,,,,,,,,,13427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-04-01,4.1,,,,,,,,,,,,,,,,,,13501,,,,,,,,,,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-05-01,3.2,,,,,,,,,,,,,,,,,,13657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-06-01,3.8,,,,,,,,,,,,,,,,,,13813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-07-01,3.5,,,,,,,,,,,,,,,,,,13536,,,,,,,,,,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-08-01,3.0,,,,,,,,,,,,,,,,,,13604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-09-01,2.8,,,,,,,,,,,,,,,,,,13550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-10-01,2.2,,,,,,,,,,,,,,,,,,13712,,,,,,,,,,676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-11-01,3.0,,,,,,,,,,,,,,,,,,13681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1991-12-01,3.8,,,,,,,,,,,,,,,,,,13566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1992-01-01,5.3,24.893,,18399.0,,,,,,,,,,,458011.0,,,,13625,,,,,67.49,,,,,683.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
1992-02-01,5.1,,,,,,,,,,,,,,,,,,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LYON
