DATE,ATNHPIUS27091A,MNMART1URN,CDC20N2UAA027091,S1701ACS027091,2020RATIO027091,B01002001E027091,B080ACS027091,B03002003E027091,B03002006E027091,B03002005E027091,B03002012E027091,PCPI27091,MNMART1POP,EQFXSUBPRIME027091,CDC20N2U027091,PUA0T17MN27091A647NCEN,HOWNRATEACS027091,S1101SPHOUSE027091,PEAAMN27091A647NCEN,RACEDISPARITY027091,B03002004E027091,PI27091,B14005DCYACS027091,DP04ACS027091,MNMART1LFN,USPTOISSUED027091,PUAAMN27091A647NCEN,MHIMN27091A052NCEN,HC01ESTVC1727091,HC01ESTVC1627091,ENU2709120510,BPPRIV027091,MHICILBMN27091A052NCEN,MHICIUBMN27091A052NCEN,PUA5T17RMN27091A647NCEN,NETMIGNACS027091,PPAAMN27091A156NCEN,PECILBAAMN27091A647NCEN,PECIUBAAMN27091A647NCEN,PPCILBAAMN27091A156NCEN,DMPCRATE027091,PPCIUBAAMN27091A156NCEN,FBITC027091,S1501ACSTOTAL027091,PE5T17MN27091A647NCEN,PP5T17MN27091A156NCEN,PECILB5T17MN27091A647NCEN,PECIUB5T17MN27091A647NCEN,PPCILB5T17MN27091A156NCEN,CBR27091MNA647NCEN,PEU18MN27091A647NCEN,PPU18MN27091A156NCEN,PECILBU18MN27091A647NCEN,PECIUBU18MN27091A647NCEN,PPCILBU18MN27091A156NCEN,PPCIUB5T17MN27091A156NCEN,PPCIUBU18MN27091A156NCEN,county
1991-01-01,69.31,6.4,,,,,,,,,,16825.0,22.889,,,,,,,,,385098.0,,,11705,,,,,,632.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-02-01,,6.7,,,,,,,,,,,,,,,,,,,,,,,11689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-03-01,,6.5,,,,,,,,,,,,,,,,,,,,,,,11651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-04-01,,6.5,,,,,,,,,,,,,,,,,,,,,,,11613,,,,,,639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-05-01,,6.5,,,,,,,,,,,,,,,,,,,,,,,11842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-06-01,,7.6,,,,,,,,,,,,,,,,,,,,,,,12443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-07-01,,6.7,,,,,,,,,,,,,,,,,,,,,,,11989,,,,,,637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-08-01,,5.6,,,,,,,,,,,,,,,,,,,,,,,11860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-09-01,,6.2,,,,,,,,,,,,,,,,,,,,,,,11959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
1991-10-01,,5.3,,,,,,,,,,,,,,,,,,,,,,,11939,,,,,,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MARTIN
