DATE,MNMCLE5URN,B03002012E027085,2020RATIO027085,B01002001E027085,B080ACS027085,B03002003E027085,B03002006E027085,B03002005E027085,EQFXSUBPRIME027085,BPPRIV027085,MNMCLE5LFN,PCPI27085,CDC20N2U027085,ATNHPIUS27085A,ENU2708520510,CDC20N2UAA027085,MHIMN27085A052NCEN,HOWNRATEACS027085,S1101SPHOUSE027085,PEAAMN27085A647NCEN,PPAAMN27085A156NCEN,DMPCRATE027085,FBITC027085,RACEDISPARITY027085,B03002004E027085,CBR27085MNA647NCEN,PI27085,B14005DCYACS027085,DP04ACS027085,MNMCLE5POP,USPTOISSUED027085,PUAAMN27085A647NCEN,HC01ESTVC1727085,S1701ACS027085,HC01ESTVC1627085,MHICILBMN27085A052NCEN,MHICIUBMN27085A052NCEN,PUA0T17MN27085A647NCEN,PUA5T17RMN27085A647NCEN,NETMIGNACS027085,PECILBAAMN27085A647NCEN,PECIUBAAMN27085A647NCEN,PPCILBAAMN27085A156NCEN,PPCIUBAAMN27085A156NCEN,S1501ACSTOTAL027085,PE5T17MN27085A647NCEN,PP5T17MN27085A156NCEN,PECILB5T17MN27085A647NCEN,PECIUB5T17MN27085A647NCEN,PPCILB5T17MN27085A156NCEN,PEU18MN27085A647NCEN,PPU18MN27085A156NCEN,PECILBU18MN27085A647NCEN,PECIUBU18MN27085A647NCEN,PPCILBU18MN27085A156NCEN,PPCIUB5T17MN27085A156NCEN,PPCIUBU18MN27085A156NCEN,county
1991-01-01,5.5,,,,,,,,,122.0,18054,17882.0,,64.99,764.0,,,,,,,,,,,,577466.0,,,32.294000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-02-01,5.5,,,,,,,,,,18066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-03-01,5.7,,,,,,,,,,18122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-04-01,4.8,,,,,,,,,,18208,,,,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-05-01,4.3,,,,,,,,,,18177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-06-01,4.2,,,,,,,,,,19017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-07-01,4.1,,,,,,,,,,18820,,,,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-08-01,3.8,,,,,,,,,,19307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-09-01,3.8,,,,,,,,,,19051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-10-01,4.0,,,,,,,,,,19030,,,,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-11-01,4.2,,,,,,,,,,17849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1991-12-01,4.6,,,,,,,,,,17886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-01-01,6.0,,,,,,,,,155.0,18387,19268.0,,65.92,787.0,,,,,,,,,,,,628165.0,,,32.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-02-01,6.4,,,,,,,,,,18410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-03-01,6.2,,,,,,,,,,18448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-04-01,4.9,,,,,,,,,,18443,,,,783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-05-01,4.6,,,,,,,,,,18551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-06-01,5.7,,,,,,,,,,19706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-07-01,4.8,,,,,,,,,,19398,,,,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-08-01,4.8,,,,,,,,,,19696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-09-01,5.0,,,,,,,,,,19387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-10-01,4.6,,,,,,,,,,19655,,,,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-11-01,4.6,,,,,,,,,,18671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1992-12-01,4.7,,,,,,,,,,18546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-01-01,6.5,,,,,,,,,175.0,18985,19409.0,,68.57,784.0,,35209.0,,,2410.0,7.2,,,,,1127.0,639337.0,,,32.941,,,,,,32937.0,37468.0,,,,1902.0,2918.0,5.7,8.8,,531.0,7.3,400.0,662.0,5.5,828.0,8.4,642.0,1013.0,6.5,9.1,10.3,MCLEOD
1993-02-01,6.4,,,,,,,,,,18911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-03-01,6.1,,,,,,,,,,19065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-04-01,5.6,,,,,,,,,,19137,,,,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-05-01,5.0,,,,,,,,,,19370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-06-01,5.7,,,,,,,,,,20211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-07-01,4.4,,,,,,,,,,20175,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-08-01,4.5,,,,,,,,,,20025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-09-01,4.3,,,,,,,,,,20243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-10-01,4.3,,,,,,,,,,19571,,,,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-11-01,4.0,,,,,,,,,,19503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1993-12-01,4.1,,,,,,,,,,19286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-01-01,5.2,,,,,,,,,160.0,19370,20963.0,,72.09,799.0,,,,,,,,,,,,695755.0,,,33.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-02-01,5.2,,,,,,,,,,19371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-03-01,5.0,,,,,,,,,,19378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-04-01,4.0,,,,,,,,,,19427,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-05-01,3.4,,,,,,,,,,19691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-06-01,3.8,,,,,,,,,,20455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-07-01,4.3,,,,,,,,,,20455,,,,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-08-01,3.2,,,,,,,,,,20741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-09-01,3.4,,,,,,,,,,20993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-10-01,3.4,,,,,,,,,,19689,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-11-01,3.1,,,,,,,,,,19620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1994-12-01,3.4,,,,,,,,,,19397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-01-01,4.4,,,,,,,,,144.0,19504,22010.0,,79.55,802.0,,39000.0,,,2110.0,6.2,,,,,1173.0,735215.0,,,33.403,,,,,,35913.0,42069.0,,,,1673.0,2547.0,4.9,7.5,,468.0,6.4,362.0,574.0,5.0,727.0,7.4,567.0,888.0,5.7,7.9,9.0,MCLEOD
1995-02-01,4.4,,,,,,,,,,19639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-03-01,4.2,,,,,,,,,,19676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-04-01,3.7,,,,,,,,,,19917,,,,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-05-01,3.1,,,,,,,,,,19929,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-06-01,3.8,,,,,,,,,,20417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-07-01,3.4,,,,,,,,,,20579,,,,801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-08-01,2.9,,,,,,,,,,20969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-09-01,3.3,,,,,,,,,,20790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-10-01,3.4,,,,,,,,,,19991,,,,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-11-01,3.1,,,,,,,,,,19935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1995-12-01,3.3,,,,,,,,,,19724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-01-01,4.1,,,,,,,,,165.0,20747,23632.0,,81.25,856.0,,,,,,,,,,,,801355.0,,,33.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-02-01,4.3,,,,,,,,,,20599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-03-01,6.3,,,,,,,,,,20755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-04-01,3.9,,,,,,,,,,20753,,,,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-05-01,3.7,,,,,,,,,,20947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-06-01,4.0,,,,,,,,,,21305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-07-01,3.7,,,,,,,,,,21666,,,,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-08-01,3.1,,,,,,,,,,22107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-09-01,3.3,,,,,,,,,,21971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-10-01,3.1,,,,,,,,,,21626,,,,876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-11-01,3.3,,,,,,,,,,20528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1996-12-01,3.4,,,,,,,,,,20250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-01-01,4.2,,,,,,,,,141.0,20262,24598.0,,87.74,877.0,,43010.0,,,2167.0,6.3,,,,,713.0,839186.0,,,34.116,,,,,,39890.0,46114.0,,,,1671.0,2663.0,4.9,7.8,,589.0,8.1,418.0,760.0,5.8,864.0,8.7,642.0,1086.0,6.5,10.5,10.9,MCLEOD
1997-02-01,4.3,,,,,,,,,,20203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-03-01,4.2,,,,,,,,,,20243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-04-01,3.6,,,,,,,,,,20595,,,,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-05-01,3.1,,,,,,,,,,20837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-06-01,3.6,,,,,,,,,,22080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-07-01,2.9,,,,,,,,,,22095,,,,913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-08-01,2.6,,,,,,,,,,22399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-09-01,2.8,,,,,,,,,,22180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-10-01,2.7,,,,,,,,,,22129,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-11-01,2.3,,,,,,,,,,21112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1997-12-01,2.4,,,,,,,,,,20960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-01-01,3.3,,,,,,,,,180.0,21156,25714.0,,90.61,901.0,,44052.0,,,2381.0,6.9,,,,,659.0,888477.0,,,34.552,,34565.0,,,,40975.0,47113.0,9956.0,7384.0,,1839.0,2922.0,5.3,8.5,,588.0,8.0,389.0,787.0,5.3,919.0,9.2,659.0,1179.0,6.6,10.7,11.8,MCLEOD
1998-02-01,3.3,,,,,,,,,,21121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-03-01,3.3,,,,,,,,,,21128,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-04-01,2.3,,,,,,,,,,21031,,,,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-05-01,2.4,,,,,,,,,,20691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-06-01,3.0,,,,,,,,,,21906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-07-01,2.7,,,,,,,,,,21480,,,,911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-08-01,2.7,,,,,,,,,,21730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-09-01,3.0,,,,,,,,,,21486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-10-01,3.1,,,,,,,,,,21431,,,,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-11-01,3.2,,,,,,,,,,20416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1998-12-01,3.1,,,,,,,,,,20455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
1999-01-01,3.8,,,,,,,,30.124223602484474,185.0,20514,26564.0,355.3,94.52,907.0,363.9,45530.0,,,1946.0,5.6,,,,,738.0,928141.0,,,34.94,,34814.0,,,,42637.0,48618.0,9634.0,7048.0,,1460.0,2432.0,4.2,7.0,,468.0,6.6,293.0,643.0,4.2,687.0,7.1,461.0,913.0,4.8,9.1,9.5,MCLEOD
1999-02-01,3.6,,,,,,,,,,20529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLEOD
