DATE,MNNOBL5URN,PCPI27105,PI27105,2020RATIO027105,B14005DCYACS027105,DP04ACS027105,MNNOBL5POP,MNNOBL5LFN,MHIMN27105A052NCEN,HC01ESTVC1727105,PUA0T17MN27105A647NCEN,PEAAMN27105A647NCEN,DMPCRATE027105,FBITC027105,RACEDISPARITY027105,S1501ACSTOTAL027105,PE5T17MN27105A647NCEN,CBR27105MNA647NCEN,PPU18MN27105A156NCEN,CDC20N2U027105,PUAAMN27105A647NCEN,B01002001E027105,B080ACS027105,CDC20N2UAA027105,ATNHPIUS27105A,EQFXSUBPRIME027105,S1701ACS027105,HC01ESTVC1627105,B03002003E027105,B03002006E027105,B03002012E027105,ENU2710520510,BPPRIV027105,MHICILBMN27105A052NCEN,MHICIUBMN27105A052NCEN,B03002005E027105,PUA5T17RMN27105A647NCEN,HOWNRATEACS027105,NETMIGNACS027105,S1101SPHOUSE027105,PPAAMN27105A156NCEN,PECILBAAMN27105A647NCEN,PECIUBAAMN27105A647NCEN,PPCILBAAMN27105A156NCEN,PPCIUBAAMN27105A156NCEN,PP5T17MN27105A156NCEN,PECILB5T17MN27105A647NCEN,PECIUB5T17MN27105A647NCEN,PPCILB5T17MN27105A156NCEN,PEU18MN27105A647NCEN,B03002004E027105,PECILBU18MN27105A647NCEN,PECIUBU18MN27105A647NCEN,PPCILBU18MN27105A156NCEN,PPCIUB5T17MN27105A156NCEN,PPCIUBU18MN27105A156NCEN,county
1991-01-01,4.5,17642.0,357147.0,,,,20.244,9848.0,,,,,,,,,,,,,,,,,79.61,,,,,,,563.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-02-01,4.3,,,,,,,9716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-03-01,4.4,,,,,,,9725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-04-01,3.0,,,,,,,9835.0,,,,,,,,,,,,,,,,,,,,,,,,572.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-05-01,2.4,,,,,,,9868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-06-01,3.5,,,,,,,10348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-07-01,3.0,,,,,,,9845.0,,,,,,,,,,,,,,,,,,,,,,,,578.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-08-01,3.6,,,,,,,9789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-09-01,3.2,,,,,,,9800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-10-01,2.7,,,,,,,9853.0,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-11-01,3.2,,,,,,,9850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1991-12-01,4.0,,,,,,,9689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-01-01,5.4,17729.0,364323.0,,,,20.55,9756.0,,,,,,,,,,,,,,,,,83.89,,,,,,,579.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-02-01,5.3,,,,,,,9671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-03-01,4.9,,,,,,,9569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-04-01,3.6,,,,,,,9849.0,,,,,,,,,,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-05-01,3.0,,,,,,,9985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-06-01,4.7,,,,,,,10110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-07-01,3.9,,,,,,,10288.0,,,,,,,,,,,,,,,,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-08-01,3.6,,,,,,,10055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-09-01,2.9,,,,,,,10080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-10-01,2.8,,,,,,,10079.0,,,,,,,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-11-01,3.3,,,,,,,10182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1992-12-01,4.2,,,,,,,9956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-01-01,5.8,17052.0,354678.0,,,,20.8,10143.0,28766.0,,,2320.0,,,,,558.0,1269.0,14.6,,,,,,86.21,,,,,,,580.0,31.0,26338.0,31180.0,,,,,,11.4,1831.0,2809.0,9.0,13.8,13.3,420.0,696.0,10.0,810.0,,627.0,992.0,11.3,16.6,17.9,NOBLES
1993-02-01,5.5,,,,,,,10089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-03-01,5.5,,,,,,,10154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-04-01,4.2,,,,,,,10231.0,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-05-01,3.5,,,,,,,10156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-06-01,4.0,,,,,,,10418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-07-01,3.9,,,,,,,10914.0,,,,,,,,,,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-08-01,3.4,,,,,,,10497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-09-01,3.0,,,,,,,10299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-10-01,2.7,,,,,,,10153.0,,,,,,,,,,,,,,,,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-11-01,2.7,,,,,,,10163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1993-12-01,3.7,,,,,,,10065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-01-01,5.6,19914.0,418173.0,,,,20.999000000000002,9998.0,,,,,,,,,,,,,,,,,91.63,,,,,,,586.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-02-01,4.9,,,,,,,9914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-03-01,4.9,,,,,,,9901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-04-01,3.1,,,,,,,9852.0,,,,,,,,,,,,,,,,,,,,,,,,588.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-05-01,2.3,,,,,,,10041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-06-01,3.0,,,,,,,10090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-07-01,3.2,,,,,,,10109.0,,,,,,,,,,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-08-01,2.8,,,,,,,10245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-09-01,2.5,,,,,,,10288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-10-01,2.1,,,,,,,10146.0,,,,,,,,,,,,,,,,,,,,,,,,602.0,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-11-01,2.1,,,,,,,10284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
1994-12-01,3.4,,,,,,,9966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOBLES
