DATE,MNPENN3URN,PCPI27113,BPPRIV027113,S1701ACS027113,MHIMN27113A052NCEN,RACEDISPARITY027113,PI27113,2020RATIO027113,B14005DCYACS027113,DP04ACS027113,MNPENN3POP,MNPENN3LFN,CDC20N2U027113,USPTOISSUED027113,PUAAMN27113A647NCEN,B01002001E027113,B080ACS027113,CDC20N2UAA027113,ATNHPIUS27113A,EQFXSUBPRIME027113,HC01ESTVC1727113,HC01ESTVC1627113,B03002012E027113,ENU2711320510,MHICILBMN27113A052NCEN,MHICIUBMN27113A052NCEN,PUA0T17MN27113A647NCEN,PUA5T17RMN27113A647NCEN,HOWNRATEACS027113,NETMIGNACS027113,S1101SPHOUSE027113,PEAAMN27113A647NCEN,PPAAMN27113A156NCEN,PECILBAAMN27113A647NCEN,PECIUBAAMN27113A647NCEN,PPCILBAAMN27113A156NCEN,DMPCRATE027113,PPCIUBAAMN27113A156NCEN,FBITC027113,S1501ACSTOTAL027113,B03002005E027113,B03002003E027113,B03002006E027113,PE5T17MN27113A647NCEN,PP5T17MN27113A156NCEN,PECILB5T17MN27113A647NCEN,PECIUB5T17MN27113A647NCEN,PPCILB5T17MN27113A156NCEN,CBR27113MNA647NCEN,PEU18MN27113A647NCEN,PPU18MN27113A156NCEN,B03002004E027113,PECILBU18MN27113A647NCEN,PECIUBU18MN27113A647NCEN,PPCILBU18MN27113A156NCEN,PPCIUB5T17MN27113A156NCEN,PPCIUBU18MN27113A156NCEN,county
1991-01-01,15.9,15569.0,4.0,,,,208938.0,,,,13.42,6857,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-02-01,15.4,,,,,,,,,,,6823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-03-01,16.4,,,,,,,,,,,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-04-01,10.3,,,,,,,,,,,6922,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-05-01,9.1,,,,,,,,,,,6894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-06-01,9.7,,,,,,,,,,,6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-07-01,8.3,,,,,,,,,,,6727,,,,,,,,,,,,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-08-01,6.8,,,,,,,,,,,7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-09-01,6.7,,,,,,,,,,,7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-10-01,6.1,,,,,,,,,,,7144,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-11-01,11.2,,,,,,,,,,,7065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1991-12-01,11.8,,,,,,,,,,,6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-01-01,14.2,16908.0,6.0,,,,227459.0,,,,13.453,6799,,,,,,,61.32,,,,,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-02-01,14.1,,,,,,,,,,,6802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-03-01,14.2,,,,,,,,,,,6838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-04-01,9.8,,,,,,,,,,,6972,,,,,,,,,,,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-05-01,8.3,,,,,,,,,,,7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-06-01,9.2,,,,,,,,,,,6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-07-01,7.4,,,,,,,,,,,6997,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-08-01,6.9,,,,,,,,,,,7047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-09-01,6.5,,,,,,,,,,,7141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-10-01,5.4,,,,,,,,,,,7021,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
1992-11-01,6.5,,,,,,,,,,,7012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENNINGTON
