DATE,MNPIPE7URN,MNPIPE7POP,S1101SPHOUSE027117,RACEDISPARITY027117,CBR27117MNA647NCEN,PI27117,2020RATIO027117,B14005DCYACS027117,DP04ACS027117,MNPIPE7LFN,CDC20N2U027117,USPTOISSUED027117,PCPI27117,PUAAMN27117A647NCEN,B01002001E027117,B080ACS027117,CDC20N2UAA027117,ATNHPIUS27117A,EQFXSUBPRIME027117,MHIMN27117A052NCEN,HC01ESTVC1727117,S1701ACS027117,HC01ESTVC1627117,B03002003E027117,B03002006E027117,B03002012E027117,ENU2711720510,BPPRIV027117,MHICILBMN27117A052NCEN,MHICIUBMN27117A052NCEN,B03002005E027117,PUA0T17MN27117A647NCEN,PUA5T17RMN27117A647NCEN,HOWNRATEACS027117,NETMIGNACS027117,PEAAMN27117A647NCEN,PPAAMN27117A156NCEN,PECILBAAMN27117A647NCEN,PECIUBAAMN27117A647NCEN,PPCILBAAMN27117A156NCEN,DMPCRATE027117,PPCIUBAAMN27117A156NCEN,FBITC027117,S1501ACSTOTAL027117,PE5T17MN27117A647NCEN,PP5T17MN27117A156NCEN,PECILB5T17MN27117A647NCEN,PECIUB5T17MN27117A647NCEN,PPCILB5T17MN27117A156NCEN,PEU18MN27117A647NCEN,PPU18MN27117A156NCEN,B03002004E027117,PECILBU18MN27117A647NCEN,PECIUBU18MN27117A647NCEN,PPCILBU18MN27117A156NCEN,PPCIUB5T17MN27117A156NCEN,PPCIUBU18MN27117A156NCEN,county
1991-01-01,6.9,10.440999999999999,,,,164232.0,,,,4847,,,15730.0,,,,,,,,,,,,,,281.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-02-01,7.0,,,,,,,,,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-03-01,6.3,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-04-01,4.8,,,,,,,,,4893,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-05-01,3.6,,,,,,,,,4930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-06-01,3.9,,,,,,,,,5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-07-01,3.8,,,,,,,,,4741,,,,,,,,,,,,,,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-08-01,3.2,,,,,,,,,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-09-01,2.8,,,,,,,,,4758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-10-01,2.6,,,,,,,,,4795,,,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-11-01,8.6,,,,,,,,,5040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1991-12-01,4.4,,,,,,,,,4678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-01-01,5.5,10.5,,,,168877.0,,,,4641,,,16084.0,,,,,74.18,,,,,,,,,281.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-02-01,5.2,,,,,,,,,4571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-03-01,5.2,,,,,,,,,4645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-04-01,3.6,,,,,,,,,4870,,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-05-01,3.0,,,,,,,,,4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-06-01,4.6,,,,,,,,,4959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-07-01,3.1,,,,,,,,,4854,,,,,,,,,,,,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-08-01,3.8,,,,,,,,,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-09-01,3.4,,,,,,,,,4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-10-01,9.2,,,,,,,,,5221,,,,,,,,,,,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-11-01,4.4,,,,,,,,,4935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1992-12-01,5.6,,,,,,,,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-01-01,8.0,10.415999999999999,,,539.0,160009.0,,,,4955,,,15362.0,,,,,80.48,,26353.0,,,,,,,291.0,26.0,23955.0,28738.0,,,,,,1214.0,11.8,954.0,1474.0,9.2,,14.3,,,305.0,13.7,227.0,383.0,10.2,438.0,14.7,,337.0,539.0,11.3,17.1,18.1,PIPESTONE
1993-02-01,7.5,,,,,,,,,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-03-01,7.1,,,,,,,,,4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-04-01,6.2,,,,,,,,,5000,,,,,,,,,,,,,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-05-01,4.7,,,,,,,,,5027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-06-01,5.8,,,,,,,,,5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-07-01,4.7,,,,,,,,,4904,,,,,,,,,,,,,,,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-08-01,4.4,,,,,,,,,4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-09-01,4.1,,,,,,,,,5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-10-01,3.7,,,,,,,,,5049,,,,,,,,,,,,,,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-11-01,3.5,,,,,,,,,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1993-12-01,5.0,,,,,,,,,5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1994-01-01,6.8,10.373,,,,201541.0,,,,5070,,,19429.0,,,,,81.25,,,,,,,,,304.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
1994-02-01,5.9,,,,,,,,,4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIPESTONE
