DATE,S1701ACS027129,MNRENV9URN,MNRENV9POP,MNRENV9LFN,MHIMN27129A052NCEN,B03002012E027129,PCPI27129,NETMIGNACS027129,HOWNRATEACS027129,RACEDISPARITY027129,CBR27129MNA647NCEN,PI27129,2020RATIO027129,B14005DCYACS027129,DP04ACS027129,CDC20N2U027129,USPTOISSUED027129,PUAAMN27129A647NCEN,B01002001E027129,B080ACS027129,CDC20N2UAA027129,ATNHPIUS27129A,EQFXSUBPRIME027129,HC01ESTVC1727129,HC01ESTVC1627129,ENU2712920510,BPPRIV027129,MHICILBMN27129A052NCEN,MHICIUBMN27129A052NCEN,PUA0T17MN27129A647NCEN,PUA5T17RMN27129A647NCEN,S1101SPHOUSE027129,PEAAMN27129A647NCEN,PPAAMN27129A156NCEN,PECILBAAMN27129A647NCEN,PECIUBAAMN27129A647NCEN,PPCILBAAMN27129A156NCEN,DMPCRATE027129,PPCIUBAAMN27129A156NCEN,FBITC027129,S1501ACSTOTAL027129,B03002005E027129,B03002003E027129,B03002006E027129,PE5T17MN27129A647NCEN,PP5T17MN27129A156NCEN,PECILB5T17MN27129A647NCEN,PECIUB5T17MN27129A647NCEN,PPCILB5T17MN27129A156NCEN,PEU18MN27129A647NCEN,PPU18MN27129A156NCEN,B03002004E027129,PECILBU18MN27129A647NCEN,PECIUBU18MN27129A647NCEN,PPCILBU18MN27129A156NCEN,PPCIUB5T17MN27129A156NCEN,PPCIUBU18MN27129A156NCEN,county
1991-01-01,,7.3,17.597,7886,,,16847.0,,,,,296465.0,,,,,,,,,,,,,,488.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-02-01,,7.2,,7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-03-01,,7.9,,7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-04-01,,6.0,,8016,,,,,,,,,,,,,,,,,,,,,,493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-05-01,,5.6,,8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-06-01,,5.7,,8307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-07-01,,5.1,,8732,,,,,,,,,,,,,,,,,,,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-08-01,,4.8,,8796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-09-01,,3.8,,9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-10-01,,3.3,,8600,,,,,,,,,,,,,,,,,,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-11-01,,4.7,,8140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1991-12-01,,6.5,,8058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-01-01,,9.0,17.515,7794,,,17908.0,,,,,313663.0,,,,,,,,,,,,,,496.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-02-01,,7.8,,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-03-01,,8.2,,7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-04-01,,6.6,,8015,,,,,,,,,,,,,,,,,,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-05-01,,6.1,,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-06-01,,7.1,,8629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-07-01,,7.2,,8033,,,,,,,,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
1992-08-01,,5.7,,8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENVILLE
