DATE,MNROSE5URN,S1701ACS027135,B01002001E027135,ATNHPIUS27135A,PCPI27135,PUAAMN27135A647NCEN,HC01ESTVC1627135,NETMIGNACS027135,PEAAMN27135A647NCEN,RACEDISPARITY027135,PE5T17MN27135A647NCEN,CBR27135MNA647NCEN,PI27135,2020RATIO027135,B14005DCYACS027135,DP04ACS027135,MNROSE5POP,MNROSE5LFN,CDC20N2U027135,USPTOISSUED027135,B080ACS027135,CDC20N2UAA027135,EQFXSUBPRIME027135,MHIMN27135A052NCEN,HC01ESTVC1727135,B03002012E027135,ENU2713520510,BPPRIV027135,MHICILBMN27135A052NCEN,MHICIUBMN27135A052NCEN,PUA0T17MN27135A647NCEN,PUA5T17RMN27135A647NCEN,HOWNRATEACS027135,S1101SPHOUSE027135,PPAAMN27135A156NCEN,PECILBAAMN27135A647NCEN,PECIUBAAMN27135A647NCEN,PPCILBAAMN27135A156NCEN,DMPCRATE027135,PPCIUBAAMN27135A156NCEN,FBITC027135,S1501ACSTOTAL027135,B03002005E027135,B03002003E027135,B03002006E027135,PP5T17MN27135A156NCEN,PECILB5T17MN27135A647NCEN,PECIUB5T17MN27135A647NCEN,PPCILB5T17MN27135A156NCEN,PEU18MN27135A647NCEN,PPU18MN27135A156NCEN,B03002004E027135,PECILBU18MN27135A647NCEN,PECIUBU18MN27135A647NCEN,PPCILBU18MN27135A156NCEN,PPCIUB5T17MN27135A156NCEN,PPCIUBU18MN27135A156NCEN,county
1991-01-01,14.9,,,,16033.0,,,,,,,,247318.0,,,,15.425999999999998,8747,,,,,,,,,333.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-02-01,6.0,,,,,,,,,,,,,,,,,8062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-03-01,6.4,,,,,,,,,,,,,,,,,7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-04-01,10.7,,,,,,,,,,,,,,,,,8577,,,,,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-05-01,3.5,,,,,,,,,,,,,,,,,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-06-01,3.6,,,,,,,,,,,,,,,,,8476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-07-01,2.9,,,,,,,,,,,,,,,,,8175,,,,,,,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-08-01,2.6,,,,,,,,,,,,,,,,,8111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-09-01,2.5,,,,,,,,,,,,,,,,,7994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
1991-10-01,2.5,,,,,,,,,,,,,,,,,8054,,,,,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSEAU
