DATE,MNSIBL3URN,MNSIBL3LFN,MHIMN27143A052NCEN,MNSIBL3POP,PCPI27143,B01002001E027143,PUAAMN27143A647NCEN,PUA0T17MN27143A647NCEN,RACEDISPARITY027143,B03002006E027143,CBR27143MNA647NCEN,PEU18MN27143A647NCEN,PI27143,2020RATIO027143,B14005DCYACS027143,DP04ACS027143,CDC20N2U027143,USPTOISSUED027143,B080ACS027143,CDC20N2UAA027143,ATNHPIUS27143A,EQFXSUBPRIME027143,HC01ESTVC1727143,S1701ACS027143,HC01ESTVC1627143,B03002012E027143,ENU2714320510,BPPRIV027143,MHICILBMN27143A052NCEN,MHICIUBMN27143A052NCEN,PUA5T17RMN27143A647NCEN,HOWNRATEACS027143,NETMIGNACS027143,S1101SPHOUSE027143,PEAAMN27143A647NCEN,PPAAMN27143A156NCEN,PECILBAAMN27143A647NCEN,PECIUBAAMN27143A647NCEN,PPCILBAAMN27143A156NCEN,DMPCRATE027143,PPCIUBAAMN27143A156NCEN,FBITC027143,S1501ACSTOTAL027143,B03002005E027143,B03002003E027143,PE5T17MN27143A647NCEN,PP5T17MN27143A156NCEN,PECILB5T17MN27143A647NCEN,PECIUB5T17MN27143A647NCEN,PPCILB5T17MN27143A156NCEN,PPU18MN27143A156NCEN,B03002004E027143,PECILBU18MN27143A647NCEN,PECIUBU18MN27143A647NCEN,PPCILBU18MN27143A156NCEN,PPCIUB5T17MN27143A156NCEN,PPCIUBU18MN27143A156NCEN,county
1991-01-01,7.7,6825,,14.372,15115.0,,,,,,,,217236.0,,,,,,,,,,,,,,303.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-02-01,8.3,6673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-03-01,8.1,6629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-04-01,6.5,6638,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-05-01,4.4,6683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-06-01,4.3,7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-07-01,3.7,6950,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-08-01,3.4,7030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-09-01,3.5,7016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
1991-10-01,3.8,6854,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIBLEY
