DATE,MNWADE9URN,B01002001E027159,PCPI27159,MNWADE9POP,PUA0T17MN27159A647NCEN,PEAAMN27159A647NCEN,RACEDISPARITY027159,PE5T17MN27159A647NCEN,CBR27159MNA647NCEN,PI27159,2020RATIO027159,B14005DCYACS027159,DP04ACS027159,MNWADE9LFN,CDC20N2U027159,PUAAMN27159A647NCEN,B080ACS027159,CDC20N2UAA027159,ATNHPIUS27159A,EQFXSUBPRIME027159,MHIMN27159A052NCEN,HC01ESTVC1727159,S1701ACS027159,HC01ESTVC1627159,B03002003E027159,B03002006E027159,B03002012E027159,ENU2715920510,BPPRIV027159,MHICILBMN27159A052NCEN,MHICIUBMN27159A052NCEN,B03002005E027159,PUA5T17RMN27159A647NCEN,HOWNRATEACS027159,NETMIGNACS027159,S1101SPHOUSE027159,PPAAMN27159A156NCEN,PECILBAAMN27159A647NCEN,PECIUBAAMN27159A647NCEN,PPCILBAAMN27159A156NCEN,DMPCRATE027159,PPCIUBAAMN27159A156NCEN,FBITC027159,S1501ACSTOTAL027159,PP5T17MN27159A156NCEN,PECILB5T17MN27159A647NCEN,PECIUB5T17MN27159A647NCEN,PPCILB5T17MN27159A156NCEN,PEU18MN27159A647NCEN,PPU18MN27159A156NCEN,B03002004E027159,PECILBU18MN27159A647NCEN,PECIUBU18MN27159A647NCEN,PPCILBU18MN27159A156NCEN,PPCIUB5T17MN27159A156NCEN,PPCIUBU18MN27159A156NCEN,county
1991-01-01,9.4,,12973.0,13.050999999999998,,,,,,169314.0,,,,5754,,,,,,,,,,,,,,345.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-02-01,9.6,,,,,,,,,,,,,5746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-03-01,9.4,,,,,,,,,,,,,5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-04-01,8.1,,,,,,,,,,,,,5796,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-05-01,6.8,,,,,,,,,,,,,5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-06-01,7.0,,,,,,,,,,,,,5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-07-01,6.3,,,,,,,,,,,,,5896,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-08-01,6.8,,,,,,,,,,,,,5797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-09-01,6.1,,,,,,,,,,,,,5821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-10-01,5.3,,,,,,,,,,,,,5834,,,,,,,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-11-01,7.3,,,,,,,,,,,,,5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1991-12-01,7.4,,,,,,,,,,,,,5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-01-01,9.2,,13830.0,12.979000000000001,,,,,,179505.0,,,,5684,,,,,,,,,,,,,,356.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-02-01,9.5,,,,,,,,,,,,,5757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-03-01,9.3,,,,,,,,,,,,,5737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-04-01,6.5,,,,,,,,,,,,,5839,,,,,,,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-05-01,5.9,,,,,,,,,,,,,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-06-01,6.6,,,,,,,,,,,,,6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-07-01,5.8,,,,,,,,,,,,,5790,,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-08-01,6.4,,,,,,,,,,,,,5724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-09-01,5.8,,,,,,,,,,,,,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-10-01,4.9,,,,,,,,,,,,,5845,,,,,,,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-11-01,7.3,,,,,,,,,,,,,5914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1992-12-01,7.8,,,,,,,,,,,,,5771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-01-01,8.9,,14328.0,13.012,,2385.0,,594.0,1372.0,186440.0,,,,5880,,,,,,,22952.0,,,,,,,358.0,30.0,20687.0,25205.0,,,,,,18.3,1882.0,2887.0,14.4,,22.1,,,20.7,446.0,742.0,15.6,853.0,22.6,,660.0,1046.0,17.5,25.9,27.7,WADENA
1993-02-01,8.9,,,,,,,,,,,,,5912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-03-01,8.5,,,,,,,,,,,,,6067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-04-01,6.6,,,,,,,,,,,,,5898,,,,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-05-01,5.1,,,,,,,,,,,,,5889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-06-01,5.9,,,,,,,,,,,,,6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-07-01,5.5,,,,,,,,,,,,,5947,,,,,,,,,,,,,,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-08-01,5.3,,,,,,,,,,,,,5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-09-01,4.4,,,,,,,,,,,,,5944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-10-01,4.3,,,,,,,,,,,,,5945,,,,,,,,,,,,,,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-11-01,6.1,,,,,,,,,,,,,5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1993-12-01,7.3,,,,,,,,,,,,,5843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-01-01,9.5,,15057.0,13.273,,,,,,199854.0,,,,6056,,,,,,,,,,,,,,374.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-02-01,8.4,,,,,,,,,,,,,5988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-03-01,7.9,,,,,,,,,,,,,6076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-04-01,6.3,,,,,,,,,,,,,6098,,,,,,,,,,,,,,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-05-01,4.0,,,,,,,,,,,,,6070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-06-01,4.5,,,,,,,,,,,,,6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-07-01,4.4,,,,,,,,,,,,,6029,,,,,,,,,,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-08-01,5.2,,,,,,,,,,,,,6049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-09-01,4.5,,,,,,,,,,,,,6146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-10-01,4.0,,,,,,,,,,,,,6146,,,,,,,,,,,,,,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-11-01,4.5,,,,,,,,,,,,,6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1994-12-01,6.0,,,,,,,,,,,,,5949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1995-01-01,8.0,,15301.0,13.302999999999999,,2083.0,,518.0,1158.0,203550.0,,,,6203,,,,,,,24984.0,,,,,,,373.0,43.0,21936.0,28016.0,,,,,,16.0,1629.0,2537.0,12.5,,19.5,,,18.3,393.0,643.0,13.9,735.0,19.8,,564.0,906.0,15.2,22.8,24.4,WADENA
1995-02-01,7.2,,,,,,,,,,,,,6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1995-03-01,6.7,,,,,,,,,,,,,6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1995-04-01,5.8,,,,,,,,,,,,,6442,,,,,,,,,,,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1995-05-01,3.4,,,,,,,,,,,,,6318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
1995-06-01,4.6,,,,,,,,,,,,,6373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADENA
