DATE,MNWASE1URN,MNWASE1POP,S1701ACS027161,ATNHPIUS27161A,PI27161,PCPI27161,RACEDISPARITY027161,CBR27161MNA647NCEN,2020RATIO027161,B14005DCYACS027161,DP04ACS027161,MNWASE1LFN,CDC20N2U027161,USPTOISSUED027161,PUAAMN27161A647NCEN,B01002001E027161,B080ACS027161,CDC20N2UAA027161,EQFXSUBPRIME027161,MHIMN27161A052NCEN,HC01ESTVC1727161,HC01ESTVC1627161,B03002003E027161,B03002006E027161,B03002012E027161,ENU2716120510,BPPRIV027161,MHICILBMN27161A052NCEN,MHICIUBMN27161A052NCEN,B03002005E027161,PUA0T17MN27161A647NCEN,PUA5T17RMN27161A647NCEN,HOWNRATEACS027161,NETMIGNACS027161,S1101SPHOUSE027161,PEAAMN27161A647NCEN,PPAAMN27161A156NCEN,PECILBAAMN27161A647NCEN,PECIUBAAMN27161A647NCEN,PPCILBAAMN27161A156NCEN,DMPCRATE027161,PPCIUBAAMN27161A156NCEN,FBITC027161,S1501ACSTOTAL027161,PE5T17MN27161A647NCEN,PP5T17MN27161A156NCEN,PECILB5T17MN27161A647NCEN,PECIUB5T17MN27161A647NCEN,PPCILB5T17MN27161A156NCEN,PEU18MN27161A647NCEN,PPU18MN27161A156NCEN,B03002004E027161,PECILBU18MN27161A647NCEN,PECIUBU18MN27161A647NCEN,PPCILBU18MN27161A156NCEN,PPCIUB5T17MN27161A156NCEN,PPCIUBU18MN27161A156NCEN,county
1991-01-01,5.1,18.308,,63.2,292357.0,15969.0,,,,,,9178,,,,,,,,,,,,,,414.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-02-01,5.6,,,,,,,,,,,9229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-03-01,5.7,,,,,,,,,,,9264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-04-01,4.8,,,,,,,,,,,9049,,,,,,,,,,,,,,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-05-01,4.3,,,,,,,,,,,9242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-06-01,4.2,,,,,,,,,,,9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-07-01,4.0,,,,,,,,,,,9379,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-08-01,4.0,,,,,,,,,,,9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-09-01,4.9,,,,,,,,,,,9796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-10-01,4.2,,,,,,,,,,,9081,,,,,,,,,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-11-01,4.4,,,,,,,,,,,9131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1991-12-01,4.9,,,,,,,,,,,9048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1992-01-01,6.3,18.211,,65.13,309005.0,16968.0,,,,,,8960,,,,,,,,,,,,,,424.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1992-02-01,6.2,,,,,,,,,,,8967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1992-03-01,6.1,,,,,,,,,,,8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
1992-04-01,4.7,,,,,,,,,,,8979,,,,,,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WASECA
