DATE,MNWATO5URN,PI27165,ATNHPIUS27165A,S1701ACS027165,PUAAMN27165A647NCEN,PCPI27165,PEAAMN27165A647NCEN,RACEDISPARITY027165,CBR27165MNA647NCEN,2020RATIO027165,B14005DCYACS027165,DP04ACS027165,MNWATO5POP,MNWATO5LFN,CDC20N2U027165,B01002001E027165,B080ACS027165,CDC20N2UAA027165,EQFXSUBPRIME027165,MHIMN27165A052NCEN,HC01ESTVC1727165,HC01ESTVC1627165,ENU2716520510,BPPRIV027165,MHICILBMN27165A052NCEN,MHICIUBMN27165A052NCEN,PUA0T17MN27165A647NCEN,PUA5T17RMN27165A647NCEN,HOWNRATEACS027165,NETMIGNACS027165,B03002012E027165,S1101SPHOUSE027165,PPAAMN27165A156NCEN,PECILBAAMN27165A647NCEN,PECIUBAAMN27165A647NCEN,PPCILBAAMN27165A156NCEN,DMPCRATE027165,PPCIUBAAMN27165A156NCEN,FBITC027165,S1501ACSTOTAL027165,B03002003E027165,B03002006E027165,B03002005E027165,PE5T17MN27165A647NCEN,PP5T17MN27165A156NCEN,PECILB5T17MN27165A647NCEN,PECIUB5T17MN27165A647NCEN,PPCILB5T17MN27165A156NCEN,PEU18MN27165A647NCEN,PPU18MN27165A156NCEN,B03002004E027165,PECILBU18MN27165A647NCEN,PECIUBU18MN27165A647NCEN,PPCILBU18MN27165A156NCEN,PPCIUB5T17MN27165A156NCEN,PPCIUBU18MN27165A156NCEN,county
1991-01-01,5.1,171922.0,,,,14670.0,,,,,,,11.719000000000001,5613,,,,,,,,,289.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-02-01,6.5,,,,,,,,,,,,,5802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-03-01,5.2,,,,,,,,,,,,,5775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-04-01,4.7,,,,,,,,,,,,,5804,,,,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-05-01,3.6,,,,,,,,,,,,,5728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-06-01,4.7,,,,,,,,,,,,,5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-07-01,5.1,,,,,,,,,,,,,5794,,,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-08-01,5.1,,,,,,,,,,,,,5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-09-01,5.1,,,,,,,,,,,,,5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-10-01,4.1,,,,,,,,,,,,,5761,,,,,,,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-11-01,4.2,,,,,,,,,,,,,5650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
1991-12-01,3.8,,,,,,,,,,,,,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATONWAN
